SENSE daab 25 24-04-2019 07:44:50.876 T: 29.764799118042 [C]; A:[76, 0, 214]; H: 70.0498046875
SENSE daad 26 24-04-2019 07:44:51.228 T: 30.0767993927002 [C]; A:[40, -48, 240]; H: 67.46343994140625
SENSE daac 31 24-04-2019 07:44:53.230 T: 30.26399993896484 [C]; A:[-34, 48, 192]; H: 70.05743408203125
SENSE daad 27 24-04-2019 07:44:51.646 T: 30.0767993927002 [C]; A:[40, -50, 238]; H: 67.46343994140625
SENSE daad 28 24-04-2019 07:44:51.998 T: 30.0767993927002 [C]; A:[36, -50, 238]; H: 67.46343994140625
SENSE daab 26 24-04-2019 07:44:51.298 T: 29.7023983001709 [C]; A:[70, 2, 220]; H: 70.0498046875
SENSE daac 32 24-04-2019 07:44:53.746 T: 30.26399993896484 [C]; A:[-38, 52, 192]; H: 70.05743408203125
SENSE daaa 33 24-04-2019 07:44:53.888 T: 29.88959884643554 [C]; A:[-16, -62, 222]; H: 70.48468017578125
SENSE daac 33 24-04-2019 07:44:54.100 T: 30.26399993896484 [C]; A:[-36, 56, 194]; H: 70.05743408203125
SENSE daaa 34 24-04-2019 07:44:54.246 T: 29.88959884643554 [C]; A:[-12, -64, 218]; H: 70.48468017578125
SENSE daac 34 24-04-2019 07:44:54.456 T: 30.26399993896484 [C]; A:[-38, 54, 194]; H: 70.05743408203125
SENSE daaa 35 24-04-2019 07:44:54.598 T: 29.88959884643554 [C]; A:[-20, -64, 216]; H: 70.48468017578125
SENSE daad 29 24-04-2019 07:44:52.691 T: 30.0767993927002 [C]; A:[38, -48, 240]; H: 67.46343994140625
SENSE daab 29 24-04-2019 07:44:52.500 T: 29.764799118042 [C]; A:[76, 4, 224]; H: 70.0498046875
SENSE daac 35 24-04-2019 07:44:54.881 T: 30.26399993896484 [C]; A:[-40, 50, 196]; H: 70.05743408203125
SENSE daaa 36 24-04-2019 07:44:55.030 T: 29.88959884643554 [C]; A:[-16, -62, 224]; H: 70.48468017578125
SENSE daad 30 24-04-2019 07:44:53.050 T: 30.0767993927002 [C]; A:[38, -50, 240]; H: 67.46343994140625
SENSE daad 31 24-04-2019 07:44:53.293 T: 30.0767993927002 [C]; A:[42, -46, 242]; H: 67.46343994140625
SENSE daaa 37 24-04-2019 07:44:55.388 T: 29.88959884643554 [C]; A:[-10, -58, 214]; H: 70.48468017578125
SENSE daac 36 24-04-2019 07:44:55.386 T: 30.26399993896484 [C]; A:[-32, 64, 200]; H: 70.05743408203125
SENSE daab 30 24-04-2019 07:44:52.970 T: 29.764799118042 [C]; A:[76, 6, 220]; H: 70.019287109375
SENSE daad 32 24-04-2019 07:44:53.538 T: 30.0767993927002 [C]; A:[42, -48, 240]; H: 67.46343994140625
SENSE daaa 38 24-04-2019 07:44:55.825 T: 29.88959884643554 [C]; A:[-22, -60, 222]; H: 70.48468017578125
