SENSE daaa 27 19-04-2019 09:07:58.078 T: 28.14239883422851 [C]; A:[16, -18, 252]; H: 76.00836181640625
SENSE daaa 28 19-04-2019 09:07:58.562 T: 28.2047996520996 [C]; A:[14, -20, 264]; H: 76.00836181640625
SENSE daad 4 19-04-2019 09:07:58.493 T: 27.3311996459961 [C]; A:[44, -30, 198]; H: 81.6922607421875
SENSE daaa 29 19-04-2019 09:07:59.014 T: 28.14239883422851 [C]; A:[10, -18, 252]; H: 76.00836181640625
SENSE daaa 30 19-04-2019 09:07:59.591 T: 28.2047996520996 [C]; A:[14, -18, 246]; H: 76.00836181640625
SENSE daad 5 19-04-2019 09:07:59.419 T: 27.3311996459961 [C]; A:[42, -32, 194]; H: 81.6922607421875
SENSE daaa 31 19-04-2019 09:08:00.054 T: 28.2047996520996 [C]; A:[16, -20, 246]; H: 76.00836181640625
SENSE daaa 32 19-04-2019 09:08:00.622 T: 28.14239883422851 [C]; A:[14, -16, 244]; H: 76.00836181640625
SENSE daad 6 19-04-2019 09:08:00.455 T: 27.3311996459961 [C]; A:[40, -30, 198]; H: 81.6617431640625
SENSE daaa 33 19-04-2019 09:08:01.090 T: 28.2047996520996 [C]; A:[12, -18, 246]; H: 76.00836181640625
SENSE daaa 34 19-04-2019 09:08:01.657 T: 28.2047996520996 [C]; A:[14, -20, 248]; H: 76.00836181640625
SENSE daad 7 19-04-2019 09:08:01.579 T: 27.268798828125 [C]; A:[42, -28, 204]; H: 81.6617431640625
SENSE daaa 35 19-04-2019 09:08:02.167 T: 28.14239883422851 [C]; A:[14, -20, 246]; H: 76.03125
SENSE daab 32 19-04-2019 09:08:02.002 T: 28.07999992370605 [C]; A:[18, -20, 224]; H: 78.7625732421875
SENSE daaa 36 19-04-2019 09:08:02.687 T: 28.2047996520996 [C]; A:[10, -16, 246]; H: 76.00836181640625
SENSE daad 8 19-04-2019 09:08:02.644 T: 27.3311996459961 [C]; A:[42, -28, 194]; H: 81.6617431640625
SENSE daaa 37 19-04-2019 09:08:03.225 T: 28.2047996520996 [C]; A:[16, -16, 244]; H: 76.00836181640625
SENSE daaa 38 19-04-2019 09:08:03.782 T: 28.2047996520996 [C]; A:[18, -24, 250]; H: 76.00836181640625
SENSE daad 9 19-04-2019 09:08:03.625 T: 27.3311996459961 [C]; A:[44, -30, 196]; H: 81.6312255859375
SENSE daaa 39 19-04-2019 09:08:04.255 T: 28.2047996520996 [C]; A:[14, -16, 248]; H: 76.00836181640625
SENSE daaa 40 19-04-2019 09:08:04.822 T: 28.2047996520996 [C]; A:[14, -16, 248]; H: 76.00836181640625
SENSE daad 10 19-04-2019 09:08:04.650 T: 27.3311996459961 [C]; A:[42, -24, 200]; H: 81.6312255859375
SENSE daaa 41 19-04-2019 09:08:05.295 T: 28.26719856262207 [C]; A:[14, -18, 250]; H: 76.00836181640625
SENSE daaa 42 19-04-2019 09:08:05.862 T: 28.2047996520996 [C]; A:[14, -8, 248]; H: 76.00836181640625
SENSE daad 11 19-04-2019 09:08:05.685 T: 27.3311996459961 [C]; A:[46, -28, 198]; H: 81.6312255859375
SENSE daac 9 19-04-2019 09:07:56.136 T: 28.32959938049316 [C]; A:[6, 8, 230]; H: 78.09881591796875
SENSE daaa 43 19-04-2019 09:08:06.432 T: 28.2047996520996 [C]; A:[12, -20, 246]; H: 75.97784423828125
SENSE daaa 44 19-04-2019 09:08:07.216 T: 28.2047996520996 [C]; A:[16, -18, 250]; H: 75.97784423828125
SENSE daac 10 19-04-2019 09:08:06.911 T: 28.45439910888671 [C]; A:[4, 10, 238]; H: 77.85467529296875
SENSE daaa 45 19-04-2019 09:08:07.689 T: 28.2047996520996 [C]; A:[20, -18, 250]; H: 75.97784423828125
SENSE daaa 46 19-04-2019 09:08:08.256 T: 28.2047996520996 [C]; A:[12, -18, 248]; H: 75.94732666015625
SENSE daac 11 19-04-2019 09:08:08.031 T: 28.51679992675781 [C]; A:[4, 10, 238]; H: 77.85467529296875
SENSE daaa 47 19-04-2019 09:08:08.734 T: 28.2047996520996 [C]; A:[14, -16, 248]; H: 75.94732666015625
SENSE daaa 48 19-04-2019 09:08:09.301 T: 28.26719856262207 [C]; A:[10, -18, 246]; H: 75.9244384765625
SENSE daac 12 19-04-2019 09:08:09.076 T: 28.51679992675781 [C]; A:[6, 6, 252]; H: 77.80126953125
