SENSE daad 17 24-04-2019 06:07:05.651 T: 29.57759857177734 [C]; A:[6, -76, 216]; H: 71.81219482421875
SENSE daaa 18 24-04-2019 06:07:05.986 T: 30.3887996673584 [C]; A:[0, 0, 230]; H: 68.45526123046875
SENSE daab 18 24-04-2019 06:07:05.986 T: 30.76319885253906 [C]; A:[42, 26, 248]; H: 65.5484619140625
SENSE daac 18 24-04-2019 06:07:05.982 T: 30.57599830627441 [C]; A:[-32, 60, 192]; H: 69.43182373046875
SENSE daad 18 24-04-2019 06:07:05.983 T: 29.57759857177734 [C]; A:[2, -70, 212]; H: 71.81219482421875
SENSE daaa 19 24-04-2019 06:07:06.324 T: 30.3887996673584 [C]; A:[0, 0, 228]; H: 68.45526123046875
SENSE daab 19 24-04-2019 06:07:06.324 T: 30.76319885253906 [C]; A:[44, 24, 246]; H: 65.5484619140625
SENSE daac 19 24-04-2019 06:07:06.320 T: 30.6383991241455 [C]; A:[-32, 62, 200]; H: 69.43182373046875
SENSE daad 19 24-04-2019 06:07:06.322 T: 29.57759857177734 [C]; A:[2, -74, 212]; H: 71.81219482421875
SENSE daaa 20 24-04-2019 06:07:06.659 T: 30.3887996673584 [C]; A:[0, 0, 230]; H: 68.45526123046875
SENSE daab 20 24-04-2019 06:07:06.658 T: 30.82559967041015 [C]; A:[38, 30, 252]; H: 65.5484619140625
SENSE daac 20 24-04-2019 06:07:06.655 T: 30.6383991241455 [C]; A:[-32, 56, 192]; H: 69.43182373046875
SENSE daad 20 24-04-2019 06:07:06.655 T: 29.63999938964843 [C]; A:[0, -70, 214]; H: 71.81219482421875
SENSE daaa 21 24-04-2019 06:07:06.990 T: 30.3887996673584 [C]; A:[0, 0, 232]; H: 68.45526123046875
SENSE daab 21 24-04-2019 06:07:06.988 T: 30.76319885253906 [C]; A:[44, 26, 248]; H: 65.5484619140625
SENSE daac 21 24-04-2019 06:07:06.984 T: 30.6383991241455 [C]; A:[-32, 54, 192]; H: 69.43182373046875
SENSE daad 21 24-04-2019 06:07:06.985 T: 29.57759857177734 [C]; A:[2, -74, 218]; H: 71.81219482421875
