SENSE daac 22 23-04-2019 21:35:03.081 T: 30.7007999420166 [C]; A:[10, -78, 212]; H: 70.2481689453125
SENSE daaa 28 23-04-2019 21:35:03.485 T: 31.69919967651367 [C]; A:[-64, -48, 234]; H: 65.533203125
SENSE daac 23 23-04-2019 21:35:03.657 T: 30.7007999420166 [C]; A:[6, -80, 210]; H: 70.2481689453125
SENSE daaa 29 23-04-2019 21:35:04.072 T: 31.69919967651367 [C]; A:[-62, -44, 234]; H: 65.533203125
SENSE daac 24 23-04-2019 21:35:04.238 T: 30.76319885253906 [C]; A:[10, -80, 212]; H: 70.2481689453125
SENSE daaa 30 23-04-2019 21:35:04.639 T: 31.69919967651367 [C]; A:[-64, -46, 234]; H: 65.533203125
SENSE daac 25 23-04-2019 21:35:04.809 T: 30.76319885253906 [C]; A:[6, -80, 212]; H: 70.2481689453125
SENSE daaa 31 23-04-2019 21:35:05.217 T: 31.63679885864257 [C]; A:[-66, -40, 240]; H: 65.533203125
SENSE daab 26 23-04-2019 21:35:02.563 T: 31.63679885864257 [C]; A:[54, -16, 222]; H: 66.8607177734375
SENSE daad 21 23-04-2019 21:35:02.733 T: 31.26239967346191 [C]; A:[-44, 42, 194]; H: 69.4852294921875
SENSE daab 27 23-04-2019 21:35:06.024 T: 31.63679885864257 [C]; A:[56, -20, 218]; H: 66.8302001953125
SENSE daad 22 23-04-2019 21:35:06.189 T: 31.19999885559082 [C]; A:[-42, 44, 192]; H: 69.4852294921875
SENSE daab 28 23-04-2019 21:35:06.601 T: 31.63679885864257 [C]; A:[56, -16, 222]; H: 66.7996826171875
SENSE daad 23 23-04-2019 21:35:06.765 T: 31.19999885559082 [C]; A:[-44, 44, 196]; H: 69.4852294921875
SENSE daab 29 23-04-2019 21:35:07.177 T: 31.63679885864257 [C]; A:[52, -14, 226]; H: 66.7996826171875
SENSE daad 24 23-04-2019 21:35:07.340 T: 31.26239967346191 [C]; A:[-46, 44, 194]; H: 69.4852294921875
SENSE daab 30 23-04-2019 21:35:07.743 T: 31.69919967651367 [C]; A:[56, -16, 226]; H: 66.77679443359375
SENSE daad 25 23-04-2019 21:35:07.915 T: 31.19999885559082 [C]; A:[-42, 42, 192]; H: 69.4852294921875
SENSE daac 26 23-04-2019 21:35:05.396 T: 30.7007999420166 [C]; A:[10, -84, 216]; H: 70.2481689453125
SENSE daaa 32 23-04-2019 21:35:05.820 T: 31.63679885864257 [C]; A:[-62, -46, 240]; H: 65.533203125
SENSE daac 27 23-04-2019 21:35:08.841 T: 30.76319885253906 [C]; A:[12, -84, 210]; H: 70.2786865234375
SENSE daaa 33 23-04-2019 21:35:09.243 T: 31.69919967651367 [C]; A:[-66, -46, 240]; H: 65.47979736328125
SENSE daac 28 23-04-2019 21:35:09.412 T: 30.76319885253906 [C]; A:[8, -84, 206]; H: 70.2786865234375
SENSE daaa 34 23-04-2019 21:35:09.825 T: 31.69919967651367 [C]; A:[-64, -42, 234]; H: 65.44927978515625
SENSE daac 29 23-04-2019 21:35:09.988 T: 30.76319885253906 [C]; A:[6, -80, 214]; H: 70.2786865234375
SENSE daaa 35 23-04-2019 21:35:10.398 T: 31.69919967651367 [C]; A:[-64, -46, 234]; H: 65.47979736328125
SENSE daac 30 23-04-2019 21:35:10.564 T: 30.76319885253906 [C]; A:[12, -80, 208]; H: 70.2786865234375
SENSE daaa 36 23-04-2019 21:35:10.970 T: 31.69919967651367 [C]; A:[-66, -44, 238]; H: 65.47979736328125
SENSE daab 31 23-04-2019 21:35:08.324 T: 31.63679885864257 [C]; A:[56, -14, 222]; H: 66.77679443359375
SENSE daad 26 23-04-2019 21:35:08.491 T: 31.19999885559082 [C]; A:[-44, 44, 194]; H: 69.4852294921875
SENSE daab 32 23-04-2019 21:35:11.772 T: 31.69919967651367 [C]; A:[56, -16, 222]; H: 66.71575927734375
SENSE daad 27 23-04-2019 21:35:11.937 T: 31.26239967346191 [C]; A:[-44, 50, 194]; H: 69.50811767578125
SENSE daab 33 23-04-2019 21:35:12.353 T: 31.69919967651367 [C]; A:[54, -12, 216]; H: 66.71575927734375
SENSE daad 28 23-04-2019 21:35:12.512 T: 31.26239967346191 [C]; A:[-42, 40, 196]; H: 69.50811767578125
SENSE daab 34 23-04-2019 21:35:12.924 T: 31.63679885864257 [C]; A:[56, -16, 224]; H: 66.71575927734375
SENSE daad 29 23-04-2019 21:35:13.087 T: 31.26239967346191 [C]; A:[-42, 46, 192]; H: 69.50811767578125
SENSE daab 35 23-04-2019 21:35:13.495 T: 31.69919967651367 [C]; A:[58, -16, 216]; H: 66.71575927734375
SENSE daad 30 23-04-2019 21:35:13.653 T: 31.26239967346191 [C]; A:[-44, 42, 194]; H: 69.50811767578125
SENSE daac 31 23-04-2019 21:35:11.135 T: 30.76319885253906 [C]; A:[4, -80, 218]; H: 70.2786865234375
SENSE daaa 37 23-04-2019 21:35:11.552 T: 31.69919967651367 [C]; A:[-68, -40, 238]; H: 65.44927978515625
SENSE daac 32 23-04-2019 21:35:14.587 T: 30.76319885253906 [C]; A:[12, -82, 214]; H: 70.2786865234375
SENSE daaa 38 23-04-2019 21:35:14.997 T: 31.69919967651367 [C]; A:[-66, -46, 242]; H: 65.44927978515625
