SENSE daaa 42 24-04-2019 09:06:05.787 T: 30.95039939880371 [C]; A:[88, -18, 232]; H: 62.023681640625
SENSE daab 41 24-04-2019 09:06:05.790 T: 30.3887996673584 [C]; A:[-26, -34, 230]; H: 65.014404296875
SENSE daac 41 24-04-2019 09:06:05.782 T: 30.88799858093261 [C]; A:[230, 82, 22]; H: 62.94683837890625
SENSE daad 41 24-04-2019 09:06:05.780 T: 32.57279968261718 [C]; A:[0, 64, 232]; H: 61.78717041015625
SENSE daaa 43 24-04-2019 09:06:06.118 T: 30.88799858093261 [C]; A:[90, -18, 236]; H: 62.023681640625
SENSE daab 42 24-04-2019 09:06:06.116 T: 30.45119857788085 [C]; A:[-30, -36, 228]; H: 64.98388671875
SENSE daac 42 24-04-2019 09:06:06.115 T: 30.88799858093261 [C]; A:[238, 84, 20]; H: 62.94683837890625
SENSE daad 42 24-04-2019 09:06:06.113 T: 32.57279968261718 [C]; A:[0, 68, 228]; H: 61.81768798828125
SENSE daaa 44 24-04-2019 09:06:06.452 T: 30.88799858093261 [C]; A:[88, -22, 232]; H: 62.05419921875
SENSE daab 43 24-04-2019 09:06:06.451 T: 30.45119857788085 [C]; A:[-32, -34, 224]; H: 64.96099853515625
SENSE daac 43 24-04-2019 09:06:06.448 T: 30.95039939880371 [C]; A:[238, 78, 20]; H: 62.9697265625
SENSE daad 43 24-04-2019 09:06:06.447 T: 32.57279968261718 [C]; A:[-6, 68, 224]; H: 61.81768798828125
SENSE daaa 45 24-04-2019 09:06:06.786 T: 30.88799858093261 [C]; A:[80, -16, 230]; H: 62.05419921875
SENSE daab 44 24-04-2019 09:06:06.783 T: 30.45119857788085 [C]; A:[-24, -38, 228]; H: 64.96099853515625
SENSE daac 44 24-04-2019 09:06:06.782 T: 30.95039939880371 [C]; A:[236, 86, 18]; H: 63.000244140625
SENSE daad 44 24-04-2019 09:06:06.780 T: 32.57279968261718 [C]; A:[0, 64, 228]; H: 61.840576171875
SENSE daaa 46 24-04-2019 09:06:07.120 T: 30.88799858093261 [C]; A:[88, -22, 226]; H: 62.05419921875
SENSE daab 45 24-04-2019 09:06:07.119 T: 30.45119857788085 [C]; A:[-26, -38, 226]; H: 64.93048095703125
SENSE daac 45 24-04-2019 09:06:07.116 T: 30.88799858093261 [C]; A:[240, 80, 20]; H: 63.03076171875
SENSE daad 45 24-04-2019 09:06:07.115 T: 32.57279968261718 [C]; A:[0, 64, 230]; H: 61.840576171875
SENSE daaa 47 24-04-2019 09:06:07.454 T: 30.88799858093261 [C]; A:[86, -22, 234]; H: 62.084716796875
SENSE daab 46 24-04-2019 09:06:07.454 T: 30.45119857788085 [C]; A:[-28, -40, 220]; H: 64.89996337890625
SENSE daac 46 24-04-2019 09:06:07.452 T: 30.88799858093261 [C]; A:[240, 76, 24]; H: 63.061279296875
SENSE daad 46 24-04-2019 09:06:07.448 T: 32.63520050048828 [C]; A:[-6, 66, 238]; H: 61.840576171875
SENSE daaa 48 24-04-2019 09:06:07.786 T: 30.88799858093261 [C]; A:[80, -20, 226]; H: 62.084716796875
SENSE daab 47 24-04-2019 09:06:07.785 T: 30.45119857788085 [C]; A:[-26, -34, 228]; H: 64.89996337890625
SENSE daac 47 24-04-2019 09:06:07.784 T: 30.88799858093261 [C]; A:[238, 78, 24]; H: 63.091796875
SENSE daad 47 24-04-2019 09:06:07.782 T: 32.57279968261718 [C]; A:[0, 64, 226]; H: 61.840576171875
SENSE daaa 49 24-04-2019 09:06:08.119 T: 30.88799858093261 [C]; A:[88, -24, 236]; H: 62.084716796875
SENSE daab 48 24-04-2019 09:06:08.117 T: 30.45119857788085 [C]; A:[-24, -40, 220]; H: 64.86944580078125
SENSE daac 48 24-04-2019 09:06:08.115 T: 30.88799858093261 [C]; A:[236, 82, 24]; H: 63.122314453125
SENSE daad 48 24-04-2019 09:06:08.114 T: 32.63520050048828 [C]; A:[0, 66, 226]; H: 61.840576171875
SENSE daaa 50 24-04-2019 09:06:08.452 T: 30.88799858093261 [C]; A:[84, -22, 234]; H: 62.084716796875
SENSE daab 49 24-04-2019 09:06:08.452 T: 30.45119857788085 [C]; A:[-26, -40, 222]; H: 64.8465576171875
SENSE daac 49 24-04-2019 09:06:08.450 T: 30.95039939880371 [C]; A:[236, 78, 22]; H: 63.15283203125
SENSE daad 49 24-04-2019 09:06:08.449 T: 32.57279968261718 [C]; A:[-4, 64, 230]; H: 61.840576171875
SENSE daaa 51 24-04-2019 09:06:08.788 T: 30.88799858093261 [C]; A:[82, -16, 232]; H: 62.115234375
SENSE daab 50 24-04-2019 09:06:08.788 T: 30.45119857788085 [C]; A:[-26, -40, 232]; H: 64.8465576171875
SENSE daac 50 24-04-2019 09:06:08.787 T: 30.88799858093261 [C]; A:[238, 84, 24]; H: 63.2138671875
SENSE daad 50 24-04-2019 09:06:08.784 T: 32.63520050048828 [C]; A:[0, 64, 226]; H: 61.840576171875
SENSE daaa 52 24-04-2019 09:06:09.123 T: 30.88799858093261 [C]; A:[90, -18, 232]; H: 62.115234375
SENSE daab 51 24-04-2019 09:06:09.122 T: 30.45119857788085 [C]; A:[-30, -40, 226]; H: 64.8160400390625
SENSE daac 51 24-04-2019 09:06:09.120 T: 30.88799858093261 [C]; A:[236, 80, 14]; H: 63.2138671875
SENSE daad 51 24-04-2019 09:06:09.118 T: 32.57279968261718 [C]; A:[-4, 66, 230]; H: 61.87872314453125
SENSE daaa 53 24-04-2019 09:06:09.455 T: 30.88799858093261 [C]; A:[86, -20, 234]; H: 62.115234375
SENSE daab 52 24-04-2019 09:06:09.455 T: 30.45119857788085 [C]; A:[-28, -36, 226]; H: 64.8160400390625
SENSE daac 52 24-04-2019 09:06:09.451 T: 30.88799858093261 [C]; A:[238, 78, 24]; H: 63.27490234375
SENSE daad 52 24-04-2019 09:06:09.449 T: 32.57279968261718 [C]; A:[-8, 64, 228]; H: 61.84820556640625
SENSE daaa 54 24-04-2019 09:06:09.789 T: 30.88799858093261 [C]; A:[84, -24, 234]; H: 62.084716796875
SENSE daab 53 24-04-2019 09:06:09.788 T: 30.51359939575195 [C]; A:[-22, -38, 240]; H: 64.7855224609375
SENSE daac 53 24-04-2019 09:06:09.786 T: 30.95039939880371 [C]; A:[238, 78, 20]; H: 63.32830810546875
SENSE daad 53 24-04-2019 09:06:09.784 T: 32.63520050048828 [C]; A:[-4, 66, 232]; H: 61.84820556640625
SENSE daaa 55 24-04-2019 09:06:10.121 T: 30.88799858093261 [C]; A:[86, -20, 234]; H: 62.084716796875
SENSE daab 54 24-04-2019 09:06:10.119 T: 30.45119857788085 [C]; A:[-28, -38, 228]; H: 64.7550048828125
SENSE daac 54 24-04-2019 09:06:10.116 T: 30.95039939880371 [C]; A:[238, 78, 26]; H: 63.35882568359375
SENSE daad 54 24-04-2019 09:06:10.114 T: 32.63520050048828 [C]; A:[0, 64, 230]; H: 61.84820556640625
SENSE daaa 56 24-04-2019 09:06:10.454 T: 30.88799858093261 [C]; A:[86, -16, 236]; H: 62.05419921875
SENSE daab 55 24-04-2019 09:06:10.453 T: 30.45119857788085 [C]; A:[-28, -36, 222]; H: 64.7550048828125
SENSE daac 55 24-04-2019 09:06:10.449 T: 30.95039939880371 [C]; A:[238, 82, 20]; H: 63.38934326171875
