SENSE daaa 79 25-04-2019 13:17:54.420 T: 29.07839965820312 [C]; A:[100, 0, 212]; H: 61.1539306640625
SENSE daaa 80 25-04-2019 13:17:54.758 T: 29.07839965820312 [C]; A:[98, 0, 206]; H: 61.1539306640625
SENSE daaa 81 25-04-2019 13:17:55.086 T: 29.07839965820312 [C]; A:[100, 4, 212]; H: 61.1844482421875
SENSE daab 44 25-04-2019 13:17:52.498 T: 28.70399856567382 [C]; A:[30, -56, 242]; H: 59.887451171875
SENSE daaa 83 25-04-2019 13:17:55.776 T: 29.07839965820312 [C]; A:[96, 2, 210]; H: 61.26837158203125
SENSE daaa 84 25-04-2019 13:17:56.114 T: 29.07839965820312 [C]; A:[96, 0, 208]; H: 61.32940673828125
SENSE daaa 85 25-04-2019 13:17:56.397 T: 29.07839965820312 [C]; A:[96, 0, 208]; H: 61.3828125
SENSE daaa 86 25-04-2019 13:17:56.760 T: 29.07839965820312 [C]; A:[98, 2, 208]; H: 61.413330078125
SENSE daab 47 25-04-2019 13:17:53.933 T: 28.70399856567382 [C]; A:[34, -56, 232]; H: 59.887451171875
SENSE daac 46 25-04-2019 13:17:53.662 T: 30.6383991241455 [C]; A:[2, 8, 234]; H: 59.20843505859375
SENSE daaa 87 25-04-2019 13:17:57.187 T: 29.07839965820312 [C]; A:[100, 2, 208]; H: 61.46673583984375
SENSE daaa 88 25-04-2019 13:17:57.470 T: 29.07839965820312 [C]; A:[100, 0, 220]; H: 61.46673583984375
SENSE daaa 89 25-04-2019 13:17:57.793 T: 29.07839965820312 [C]; A:[98, 4, 208]; H: 61.49725341796875
SENSE daaa 90 25-04-2019 13:17:58.115 T: 29.07839965820312 [C]; A:[98, 0, 210]; H: 61.52777099609375
SENSE daaa 91 25-04-2019 13:17:58.449 T: 29.14079856872558 [C]; A:[100, 6, 216]; H: 61.52777099609375
SENSE daaa 92 25-04-2019 13:17:58.751 T: 29.07839965820312 [C]; A:[96, 6, 210]; H: 61.55828857421875
SENSE daaa 93 25-04-2019 13:17:59.099 T: 29.14079856872558 [C]; A:[98, 0, 208]; H: 61.55828857421875
SENSE daaa 95 25-04-2019 13:17:59.675 T: 29.07839965820312 [C]; A:[98, 0, 212]; H: 61.55828857421875
SENSE daaa 96 25-04-2019 13:17:59.963 T: 29.07839965820312 [C]; A:[96, 4, 206]; H: 61.55828857421875
SENSE daab 53 25-04-2019 13:17:56.966 T: 28.64159965515136 [C]; A:[36, -52, 240]; H: 59.80352783203125
SENSE daaa 97 25-04-2019 13:18:00.375 T: 29.14079856872558 [C]; A:[98, 6, 216]; H: 61.55828857421875
SENSE daaa 98 25-04-2019 13:18:00.663 T: 29.07839965820312 [C]; A:[100, 0, 214]; H: 61.55828857421875
SENSE daaa 99 25-04-2019 13:18:00.991 T: 29.07839965820312 [C]; A:[98, 0, 212]; H: 61.52777099609375
SENSE daaa 100 25-04-2019 13:18:01.319 T: 29.07839965820312 [C]; A:[98, 2, 208]; H: 61.49725341796875
SENSE daaa 101 25-04-2019 13:18:01.652 T: 29.07839965820312 [C]; A:[102, 4, 206]; H: 61.49725341796875
SENSE daad 55 25-04-2019 13:17:58.379 T: 28.82879829406738 [C]; A:[-6, -64, 220]; H: 62.5882568359375
SENSE daaa 102 25-04-2019 13:18:02.009 T: 29.07839965820312 [C]; A:[98, 0, 212]; H: 61.46673583984375
SENSE daab 58 25-04-2019 13:17:59.530 T: 28.70399856567382 [C]; A:[32, -56, 238]; H: 59.83404541015625
SENSE daaa 103 25-04-2019 13:18:02.417 T: 29.14079856872558 [C]; A:[102, 0, 214]; H: 61.46673583984375
SENSE daaa 104 25-04-2019 13:18:02.744 T: 29.07839965820312 [C]; A:[96, 0, 208]; H: 61.44384765625
SENSE daab 59 25-04-2019 13:18:00.182 T: 28.70399856567382 [C]; A:[30, -52, 246]; H: 59.948486328125
SENSE daac 59 25-04-2019 13:18:00.389 T: 30.6383991241455 [C]; A:[0, 8, 234]; H: 58.849853515625
SENSE daaa 105 25-04-2019 13:18:03.221 T: 29.07839965820312 [C]; A:[98, 2, 214]; H: 61.44384765625
SENSE daaa 106 25-04-2019 13:18:03.549 T: 29.07839965820312 [C]; A:[96, 2, 214]; H: 61.44384765625
SENSE daaa 107 25-04-2019 13:18:03.832 T: 29.07839965820312 [C]; A:[100, 0, 210]; H: 61.44384765625
SENSE daab 62 25-04-2019 13:18:01.749 T: 28.70399856567382 [C]; A:[30, -56, 238]; H: 60.131591796875
SENSE daaa 108 25-04-2019 13:18:04.244 T: 29.07839965820312 [C]; A:[102, 0, 210]; H: 61.44384765625
SENSE daad 61 25-04-2019 13:18:01.593 T: 28.82879829406738 [C]; A:[0, -64, 216]; H: 62.64166259765625
SENSE daaa 109 25-04-2019 13:18:04.616 T: 29.07839965820312 [C]; A:[98, 6, 212]; H: 61.44384765625
SENSE daaa 111 25-04-2019 13:18:05.198 T: 29.14079856872558 [C]; A:[100, 2, 216]; H: 61.44384765625
SENSE daaa 112 25-04-2019 13:18:05.521 T: 29.14079856872558 [C]; A:[96, 6, 208]; H: 61.413330078125
SENSE daac 63 25-04-2019 13:18:02.520 T: 30.6383991241455 [C]; A:[-4, 10, 234]; H: 58.93377685546875
SENSE daab 65 25-04-2019 13:18:03.313 T: 28.70399856567382 [C]; A:[34, -54, 242]; H: 60.10107421875
SENSE daac 64 25-04-2019 13:18:02.970 T: 30.6383991241455 [C]; A:[0, 6, 234]; H: 58.93377685546875
SENSE daaa 113 25-04-2019 13:18:06.042 T: 29.14079856872558 [C]; A:[100, 2, 214]; H: 61.3828125
SENSE daaa 115 25-04-2019 13:18:06.648 T: 29.14079856872558 [C]; A:[100, 0, 210]; H: 61.3828125
SENSE daaa 116 25-04-2019 13:18:06.931 T: 29.07839965820312 [C]; A:[100, 2, 206]; H: 61.35992431640625
SENSE daac 66 25-04-2019 13:18:04.058 T: 30.6383991241455 [C]; A:[0, 8, 230]; H: 58.88037109375
SENSE daaa 117 25-04-2019 13:18:07.353 T: 29.14079856872558 [C]; A:[100, 0, 208]; H: 61.35992431640625
SENSE daaa 117 25-04-2019 13:18:07.353 T: 29.14079856872558 [C]; A:[100, 0, 208]; H: 61.35992431640625
SENSE daaa 118 25-04-2019 13:18:07.686 T: 29.07839965820312 [C]; A:[102, 2, 212]; H: 61.32940673828125
SENSE daaa 119 25-04-2019 13:18:07.979 T: 29.14079856872558 [C]; A:[100, 6, 210]; H: 61.32940673828125
SENSE daac 68 25-04-2019 13:18:05.098 T: 30.6383991241455 [C]; A:[0, 6, 230]; H: 58.849853515625
SENSE daad 68 25-04-2019 13:18:05.214 T: 28.82879829406738 [C]; A:[-8, -66, 212]; H: 62.70269775390625
SENSE daaa 120 25-04-2019 13:18:08.466 T: 29.07839965820312 [C]; A:[100, 4, 212]; H: 61.29888916015625
SENSE daaa 121 25-04-2019 13:18:08.798 T: 29.14079856872558 [C]; A:[100, 4, 214]; H: 61.29888916015625
SENSE daab 71 25-04-2019 13:18:06.476 T: 28.76639938354492 [C]; A:[30, -54, 236]; H: 59.948486328125
SENSE daaa 122 25-04-2019 13:18:09.156 T: 29.07839965820312 [C]; A:[98, 0, 212]; H: 61.29888916015625
SENSE daaa 123 25-04-2019 13:18:09.434 T: 29.14079856872558 [C]; A:[100, 0, 216]; H: 61.26837158203125
SENSE daaa 124 25-04-2019 13:18:09.772 T: 29.14079856872558 [C]; A:[102, 0, 208]; H: 61.26837158203125
SENSE daab 73 25-04-2019 13:18:07.483 T: 28.70399856567382 [C]; A:[28, -54, 236]; H: 59.91796875
SENSE daaa 126 25-04-2019 13:18:10.462 T: 29.14079856872558 [C]; A:[94, 4, 212]; H: 61.2454833984375
SENSE daaa 127 25-04-2019 13:18:10.790 T: 29.14079856872558 [C]; A:[98, 2, 210]; H: 61.26837158203125
SENSE daaa 128 25-04-2019 13:18:11.118 T: 29.14079856872558 [C]; A:[102, 0, 212]; H: 61.26837158203125
SENSE daaa 129 25-04-2019 13:18:11.486 T: 29.14079856872558 [C]; A:[96, 2, 212]; H: 61.26837158203125
SENSE daab 76 25-04-2019 13:18:09.015 T: 28.70399856567382 [C]; A:[30, -56, 242]; H: 59.91796875
SENSE daaa 130 25-04-2019 13:18:11.882 T: 29.07839965820312 [C]; A:[98, 4, 216]; H: 61.26837158203125
SENSE daaa 131 25-04-2019 13:18:12.165 T: 29.14079856872558 [C]; A:[98, 6, 216]; H: 61.29888916015625
SENSE daaa 132 25-04-2019 13:18:12.493 T: 29.14079856872558 [C]; A:[100, 0, 212]; H: 61.29888916015625
SENSE daac 77 25-04-2019 13:18:09.828 T: 30.6383991241455 [C]; A:[0, 10, 238]; H: 58.88037109375
SENSE daad 77 25-04-2019 13:18:09.944 T: 28.82879829406738 [C]; A:[0, -64, 218]; H: 62.70269775390625
SENSE daaa 133 25-04-2019 13:18:12.970 T: 29.14079856872558 [C]; A:[96, 0, 212]; H: 61.29888916015625
SENSE daaa 134 25-04-2019 13:18:13.263 T: 29.14079856872558 [C]; A:[96, 4, 206]; H: 61.29888916015625
SENSE daaa 135 25-04-2019 13:18:13.606 T: 29.14079856872558 [C]; A:[96, 2, 210]; H: 61.29888916015625
SENSE daaa 136 25-04-2019 13:18:13.953 T: 29.14079856872558 [C]; A:[96, 4, 216]; H: 61.29888916015625
SENSE daaa 137 25-04-2019 13:18:14.241 T: 29.14079856872558 [C]; A:[98, 0, 208]; H: 61.29888916015625
SENSE daab 81 25-04-2019 13:18:11.693 T: 28.76639938354492 [C]; A:[32, -56, 240]; H: 59.887451171875
SENSE daaa 138 25-04-2019 13:18:14.659 T: 29.14079856872558 [C]; A:[96, 0, 210]; H: 61.29888916015625
SENSE daaa 139 25-04-2019 13:18:14.986 T: 29.14079856872558 [C]; A:[98, 6, 210]; H: 61.29888916015625
SENSE daaa 140 25-04-2019 13:18:15.285 T: 29.14079856872558 [C]; A:[96, 6, 202]; H: 61.26837158203125
SENSE daab 83 25-04-2019 13:18:12.698 T: 28.70399856567382 [C]; A:[28, -50, 238]; H: 59.887451171875
SENSE daaa 141 25-04-2019 13:18:15.686 T: 29.14079856872558 [C]; A:[96, 2, 210]; H: 61.26837158203125
SENSE daaa 142 25-04-2019 13:18:15.970 T: 29.14079856872558 [C]; A:[102, 0, 204]; H: 61.26837158203125
SENSE daaa 143 25-04-2019 13:18:16.258 T: 29.14079856872558 [C]; A:[98, 2, 212]; H: 61.26837158203125
SENSE daaa 144 25-04-2019 13:18:16.585 T: 29.14079856872558 [C]; A:[98, 0, 208]; H: 61.26837158203125
SENSE daaa 145 25-04-2019 13:18:16.873 T: 29.14079856872558 [C]; A:[96, 0, 212]; H: 61.26837158203125
SENSE daaa 146 25-04-2019 13:18:17.212 T: 29.14079856872558 [C]; A:[96, 4, 216]; H: 61.31414794921875
SENSE daaa 147 25-04-2019 13:18:17.504 T: 29.14079856872558 [C]; A:[96, 2, 214]; H: 61.26837158203125
SENSE daaa 149 25-04-2019 13:18:18.125 T: 29.14079856872558 [C]; A:[98, 4, 210]; H: 61.31414794921875
SENSE daaa 150 25-04-2019 13:18:18.448 T: 29.07839965820312 [C]; A:[96, 0, 208]; H: 61.31414794921875
SENSE daaa 151 25-04-2019 13:18:18.731 T: 29.14079856872558 [C]; A:[92, 10, 212]; H: 61.31414794921875
SENSE daab 89 25-04-2019 13:18:15.768 T: 28.70399856567382 [C]; A:[30, -58, 240]; H: 59.887451171875
SENSE daac 88 25-04-2019 13:18:15.506 T: 30.6383991241455 [C]; A:[0, 10, 230]; H: 59.02532958984375
SENSE daaa 152 25-04-2019 13:18:19.208 T: 29.14079856872558 [C]; A:[102, 0, 212]; H: 61.31414794921875
SENSE daaa 153 25-04-2019 13:18:19.540 T: 29.20319938659667 [C]; A:[100, 0, 212]; H: 61.31414794921875
SENSE daaa 154 25-04-2019 13:18:19.823 T: 29.14079856872558 [C]; A:[94, 0, 216]; H: 61.31414794921875
SENSE daaa 155 25-04-2019 13:18:20.146 T: 29.14079856872558 [C]; A:[96, 2, 214]; H: 61.31414794921875
SENSE daaa 156 25-04-2019 13:18:20.474 T: 29.14079856872558 [C]; A:[102, 0, 206]; H: 61.31414794921875
SENSE daaa 157 25-04-2019 13:18:20.807 T: 29.14079856872558 [C]; A:[98, 2, 210]; H: 61.31414794921875
SENSE daaa 158 25-04-2019 13:18:21.095 T: 29.14079856872558 [C]; A:[104, 0, 208]; H: 61.28363037109375
SENSE daaa 159 25-04-2019 13:18:21.383 T: 29.07839965820312 [C]; A:[98, 2, 206]; H: 61.31414794921875
SENSE daaa 160 25-04-2019 13:18:21.705 T: 29.14079856872558 [C]; A:[102, 4, 210]; H: 61.2454833984375
SENSE daac 93 25-04-2019 13:18:18.338 T: 30.57599830627441 [C]; A:[2, 6, 230]; H: 59.14739990234375
SENSE daad 93 25-04-2019 13:18:18.448 T: 28.82879829406738 [C]; A:[-8, -62, 214]; H: 62.73321533203125
SENSE daaa 161 25-04-2019 13:18:22.147 T: 29.14079856872558 [C]; A:[98, 4, 210]; H: 61.31414794921875
SENSE daaa 162 25-04-2019 13:18:22.475 T: 29.14079856872558 [C]; A:[98, 8, 212]; H: 61.28363037109375
SENSE daaa 163 25-04-2019 13:18:22.769 T: 29.14079856872558 [C]; A:[98, 6, 214]; H: 61.31414794921875
SENSE daaa 164 25-04-2019 13:18:23.091 T: 29.14079856872558 [C]; A:[94, 10, 214]; H: 61.31414794921875
SENSE daaa 165 25-04-2019 13:18:23.419 T: 29.14079856872558 [C]; A:[100, 0, 216]; H: 61.31414794921875
SENSE daab 98 25-04-2019 13:18:20.898 T: 28.76639938354492 [C]; A:[36, -60, 244]; H: 59.83404541015625
SENSE daaa 166 25-04-2019 13:18:23.816 T: 29.14079856872558 [C]; A:[94, 0, 216]; H: 61.31414794921875
SENSE daaa 167 25-04-2019 13:18:24.149 T: 29.14079856872558 [C]; A:[102, 4, 212]; H: 61.26837158203125
SENSE daaa 168 25-04-2019 13:18:24.486 T: 29.14079856872558 [C]; A:[98, 0, 208]; H: 61.26837158203125
SENSE daac 99 25-04-2019 13:18:21.766 T: 30.57599830627441 [C]; A:[-8, 12, 236]; H: 59.3533935546875
SENSE daad 99 25-04-2019 13:18:21.877 T: 28.82879829406738 [C]; A:[-4, -68, 216]; H: 62.756103515625
