SENSE daaa 45 25-04-2019 06:01:07.169 T: 27.6431999206543 [C]; A:[12, -40, 248]; H: 67.67706298828125
SENSE daab 24 25-04-2019 06:01:07.128 T: 27.70559883117675 [C]; A:[-12, -6, 230]; H: 67.75335693359375
SENSE daac 9 25-04-2019 06:01:02.261 T: 30.51359939575195 [C]; A:[0, 2, 236]; H: 62.90869140625
SENSE daaa 46 25-04-2019 06:01:07.528 T: 27.6431999206543 [C]; A:[4, -40, 244]; H: 67.67706298828125
SENSE daab 25 25-04-2019 06:01:07.571 T: 27.70559883117675 [C]; A:[-14, -4, 230]; H: 67.79150390625
SENSE daaa 47 25-04-2019 06:01:07.901 T: 27.6431999206543 [C]; A:[6, -38, 246]; H: 67.67706298828125
SENSE daab 26 25-04-2019 06:01:08.061 T: 27.70559883117675 [C]; A:[-16, -6, 228]; H: 67.79150390625
SENSE daaa 48 25-04-2019 06:01:08.244 T: 27.6431999206543 [C]; A:[8, -38, 252]; H: 67.67706298828125
SENSE daac 10 25-04-2019 06:01:07.913 T: 30.51359939575195 [C]; A:[0, 2, 232]; H: 62.96209716796875
SENSE daaa 49 25-04-2019 06:01:08.577 T: 27.6431999206543 [C]; A:[10, -40, 246]; H: 67.699951171875
SENSE daab 27 25-04-2019 06:01:08.506 T: 27.70559883117675 [C]; A:[-18, -6, 228]; H: 67.79150390625
SENSE daaa 50 25-04-2019 06:01:08.911 T: 27.6431999206543 [C]; A:[2, -32, 246]; H: 67.699951171875
SENSE daab 28 25-04-2019 06:01:09.020 T: 27.70559883117675 [C]; A:[-16, -6, 228]; H: 67.79150390625
SENSE daac 11 25-04-2019 06:01:08.874 T: 30.45119857788085 [C]; A:[2, 0, 236]; H: 62.93157958984375
SENSE daaa 51 25-04-2019 06:01:09.244 T: 27.6431999206543 [C]; A:[4, -42, 240]; H: 67.699951171875
SENSE daab 29 25-04-2019 06:01:09.479 T: 27.70559883117675 [C]; A:[-18, -10, 232]; H: 67.79150390625
SENSE daaa 52 25-04-2019 06:01:09.688 T: 27.6431999206543 [C]; A:[6, -40, 244]; H: 67.699951171875
SENSE daaa 53 25-04-2019 06:01:10.021 T: 27.6431999206543 [C]; A:[4, -34, 242]; H: 67.73046875
SENSE daab 30 25-04-2019 06:01:09.993 T: 27.6431999206543 [C]; A:[-18, -6, 224]; H: 67.79150390625
SENSE daac 12 25-04-2019 06:01:09.851 T: 30.51359939575195 [C]; A:[0, 0, 232]; H: 62.99261474609375
SENSE daaa 54 25-04-2019 06:01:10.359 T: 27.5807991027832 [C]; A:[8, -38, 244]; H: 67.73046875
SENSE daab 31 25-04-2019 06:01:10.429 T: 27.70559883117675 [C]; A:[-20, -8, 228]; H: 67.79150390625
SENSE daaa 55 25-04-2019 06:01:10.717 T: 27.6431999206543 [C]; A:[8, -40, 242]; H: 67.73046875
SENSE daab 32 25-04-2019 06:01:10.926 T: 27.6431999206543 [C]; A:[-20, -4, 232]; H: 67.79150390625
SENSE daaa 56 25-04-2019 06:01:11.056 T: 27.5807991027832 [C]; A:[4, -40, 246]; H: 67.73046875
SENSE daac 13 25-04-2019 06:01:10.789 T: 30.45119857788085 [C]; A:[0, 2, 230]; H: 62.99261474609375
SENSE daaa 57 25-04-2019 06:01:11.444 T: 27.6431999206543 [C]; A:[10, -44, 240]; H: 67.73046875
SENSE daab 33 25-04-2019 06:01:11.376 T: 27.70559883117675 [C]; A:[-10, -10, 228]; H: 67.79150390625
SENSE daaa 58 25-04-2019 06:01:11.773 T: 27.6431999206543 [C]; A:[6, -40, 246]; H: 67.73046875
SENSE daab 34 25-04-2019 06:01:11.890 T: 27.70559883117675 [C]; A:[-16, -10, 228]; H: 67.79150390625
SENSE daac 14 25-04-2019 06:01:11.739 T: 30.45119857788085 [C]; A:[0, 0, 230]; H: 62.96209716796875
SENSE daaa 59 25-04-2019 06:01:12.122 T: 27.5807991027832 [C]; A:[6, -40, 248]; H: 67.73046875
SENSE daab 35 25-04-2019 06:01:12.324 T: 27.70559883117675 [C]; A:[-18, -8, 236]; H: 67.79150390625
SENSE daaa 60 25-04-2019 06:01:12.529 T: 27.6431999206543 [C]; A:[6, -46, 248]; H: 67.73046875
SENSE daaa 61 25-04-2019 06:01:12.868 T: 27.5807991027832 [C]; A:[6, -38, 248]; H: 67.73046875
SENSE daab 36 25-04-2019 06:01:12.808 T: 27.70559883117675 [C]; A:[-10, -8, 232]; H: 67.79150390625
SENSE daac 15 25-04-2019 06:01:12.670 T: 30.45119857788085 [C]; A:[0, 0, 232]; H: 62.96209716796875
SENSE daaa 62 25-04-2019 06:01:13.206 T: 27.5807991027832 [C]; A:[4, -38, 246]; H: 67.760986328125
SENSE daab 37 25-04-2019 06:01:13.244 T: 27.70559883117675 [C]; A:[-20, -8, 232]; H: 67.79150390625
SENSE daaa 63 25-04-2019 06:01:13.579 T: 27.5807991027832 [C]; A:[6, -40, 248]; H: 67.760986328125
SENSE daab 38 25-04-2019 06:01:13.772 T: 27.70559883117675 [C]; A:[-16, -10, 230]; H: 67.79150390625
SENSE daaa 64 25-04-2019 06:01:13.913 T: 27.6431999206543 [C]; A:[4, -36, 244]; H: 67.760986328125
SENSE daac 16 25-04-2019 06:01:13.620 T: 30.51359939575195 [C]; A:[2, 0, 232]; H: 62.96209716796875
SENSE daab 39 25-04-2019 06:01:14.221 T: 27.70559883117675 [C]; A:[-12, -6, 230]; H: 67.79150390625
