SENSE daac 23 22-04-2019 12:40:53.081 T: 26.58239936828613 [C]; A:[2, 4, 230]; H: 65.43402099609375
SENSE daad 23 22-04-2019 12:40:53.076 T: 26.20800018310546 [C]; A:[0, 62, 194]; H: 67.18115234375
SENSE daaa 24 22-04-2019 12:40:53.416 T: 26.39519882202148 [C]; A:[0, 0, 230]; H: 64.6024169921875
SENSE daab 24 22-04-2019 12:40:53.414 T: 26.58239936828613 [C]; A:[44, -28, 246]; H: 62.55010986328125
SENSE daac 24 22-04-2019 12:40:53.412 T: 26.58239936828613 [C]; A:[0, 6, 232]; H: 65.43402099609375
SENSE daad 24 22-04-2019 12:40:53.406 T: 26.14559936523437 [C]; A:[0, 62, 190]; H: 67.12774658203125
SENSE daaa 25 22-04-2019 12:40:53.746 T: 26.39519882202148 [C]; A:[0, 4, 234]; H: 64.6024169921875
SENSE daab 25 22-04-2019 12:40:53.746 T: 26.58239936828613 [C]; A:[38, -22, 246]; H: 62.58062744140625
SENSE daac 25 22-04-2019 12:40:53.745 T: 26.64480018615722 [C]; A:[0, 2, 236]; H: 65.43402099609375
SENSE daad 25 22-04-2019 12:40:53.741 T: 26.02079963684082 [C]; A:[0, 60, 192]; H: 67.06671142578125
SENSE daaa 26 22-04-2019 12:40:54.081 T: 26.39519882202148 [C]; A:[-6, 0, 238]; H: 64.5718994140625
SENSE daab 26 22-04-2019 12:40:54.081 T: 26.58239936828613 [C]; A:[38, -22, 242]; H: 62.61114501953125
SENSE daac 26 22-04-2019 12:40:54.079 T: 26.58239936828613 [C]; A:[2, 8, 246]; H: 65.43402099609375
SENSE daad 26 22-04-2019 12:40:54.074 T: 26.27039909362792 [C]; A:[0, 56, 192]; H: 67.0438232421875
SENSE daaa 27 22-04-2019 12:40:54.415 T: 26.39519882202148 [C]; A:[-6, 0, 228]; H: 64.5718994140625
SENSE daab 27 22-04-2019 12:40:54.414 T: 26.58239936828613 [C]; A:[36, -26, 240]; H: 62.61114501953125
SENSE daac 27 22-04-2019 12:40:54.414 T: 26.64480018615722 [C]; A:[0, 8, 236]; H: 65.43402099609375
SENSE daad 27 22-04-2019 12:40:54.408 T: 26.08319854736328 [C]; A:[6, 64, 198]; H: 67.0133056640625
SENSE daaa 28 22-04-2019 12:40:54.749 T: 26.39519882202148 [C]; A:[-8, 2, 230]; H: 64.54901123046875
SENSE daab 28 22-04-2019 12:40:54.749 T: 26.58239936828613 [C]; A:[40, -28, 242]; H: 62.61114501953125
SENSE daac 28 22-04-2019 12:40:54.754 T: 26.64480018615722 [C]; A:[0, 12, 232]; H: 65.43402099609375
SENSE daad 28 22-04-2019 12:40:54.743 T: 26.14559936523437 [C]; A:[0, 56, 192]; H: 66.92938232421875
SENSE daaa 29 22-04-2019 12:40:55.083 T: 26.39519882202148 [C]; A:[-2, 0, 232]; H: 64.51849365234375
SENSE daab 29 22-04-2019 12:40:55.081 T: 26.58239936828613 [C]; A:[42, -34, 242]; H: 62.61114501953125
SENSE daac 29 22-04-2019 12:40:55.082 T: 26.64480018615722 [C]; A:[2, 0, 232]; H: 65.43402099609375
SENSE daad 29 22-04-2019 12:40:55.077 T: 26.20800018310546 [C]; A:[6, 52, 192]; H: 66.89886474609375
SENSE daaa 30 22-04-2019 12:40:55.415 T: 26.39519882202148 [C]; A:[-6, 0, 230]; H: 64.48797607421875
SENSE daab 30 22-04-2019 12:40:55.415 T: 26.58239936828613 [C]; A:[44, -28, 244]; H: 62.61114501953125
SENSE daac 30 22-04-2019 12:40:55.415 T: 26.58239936828613 [C]; A:[0, 6, 236]; H: 65.43402099609375
SENSE daad 30 22-04-2019 12:40:55.408 T: 26.27039909362792 [C]; A:[0, 60, 198]; H: 66.89886474609375
SENSE daaa 31 22-04-2019 12:40:55.747 T: 26.39519882202148 [C]; A:[-4, 0, 228]; H: 64.465087890625
SENSE daab 31 22-04-2019 12:40:55.746 T: 26.58239936828613 [C]; A:[42, -26, 244]; H: 62.58062744140625
SENSE daac 31 22-04-2019 12:40:55.746 T: 26.64480018615722 [C]; A:[0, 4, 232]; H: 65.43402099609375
SENSE daad 31 22-04-2019 12:40:55.742 T: 26.14559936523437 [C]; A:[0, 64, 198]; H: 66.8759765625
SENSE daaa 32 22-04-2019 12:40:56.082 T: 26.33279991149902 [C]; A:[-6, 0, 232]; H: 64.465087890625
SENSE daab 32 22-04-2019 12:40:56.085 T: 26.51999855041503 [C]; A:[46, -28, 252]; H: 62.58062744140625
SENSE daac 32 22-04-2019 12:40:56.084 T: 26.58239936828613 [C]; A:[0, 6, 232]; H: 65.43402099609375
SENSE daad 32 22-04-2019 12:40:56.080 T: 26.14559936523437 [C]; A:[0, 60, 190]; H: 66.845458984375
SENSE daaa 33 22-04-2019 12:40:56.420 T: 26.39519882202148 [C]; A:[0, 2, 226]; H: 64.4345703125
SENSE daab 33 22-04-2019 12:40:56.420 T: 26.58239936828613 [C]; A:[38, -28, 248]; H: 62.55010986328125
SENSE daac 33 22-04-2019 12:40:56.419 T: 26.64480018615722 [C]; A:[4, 2, 270]; H: 65.43402099609375
SENSE daad 33 22-04-2019 12:40:56.414 T: 26.14559936523437 [C]; A:[0, 56, 198]; H: 66.81494140625
SENSE daaa 34 22-04-2019 12:40:56.756 T: 26.39519882202148 [C]; A:[-4, 0, 228]; H: 64.404052734375
SENSE daab 34 22-04-2019 12:40:56.754 T: 26.58239936828613 [C]; A:[40, -32, 244]; H: 62.51959228515625
SENSE daac 34 22-04-2019 12:40:56.754 T: 26.58239936828613 [C]; A:[0, 8, 238]; H: 65.43402099609375
SENSE daad 34 22-04-2019 12:40:56.749 T: 26.08319854736328 [C]; A:[0, 58, 194]; H: 66.79205322265625
SENSE daaa 35 22-04-2019 12:40:57.089 T: 26.39519882202148 [C]; A:[0, 0, 234]; H: 64.404052734375
SENSE daab 35 22-04-2019 12:40:57.089 T: 26.58239936828613 [C]; A:[38, -26, 242]; H: 62.51959228515625
SENSE daac 35 22-04-2019 12:40:57.094 T: 26.58239936828613 [C]; A:[0, 14, 234]; H: 65.43402099609375
SENSE daad 35 22-04-2019 12:40:57.082 T: 26.20800018310546 [C]; A:[0, 62, 194]; H: 66.79205322265625
SENSE daaa 36 22-04-2019 12:40:57.422 T: 26.39519882202148 [C]; A:[-8, 0, 230]; H: 64.38116455078125
SENSE daab 36 22-04-2019 12:40:57.421 T: 26.58239936828613 [C]; A:[40, -28, 242]; H: 62.51959228515625
SENSE daac 36 22-04-2019 12:40:57.421 T: 26.64480018615722 [C]; A:[0, 8, 230]; H: 65.43402099609375
SENSE daad 36 22-04-2019 12:40:57.416 T: 26.14559936523437 [C]; A:[0, 62, 192]; H: 66.79205322265625
SENSE daaa 37 22-04-2019 12:40:57.757 T: 26.39519882202148 [C]; A:[-8, -4, 232]; H: 64.38116455078125
SENSE daab 37 22-04-2019 12:40:57.754 T: 26.58239936828613 [C]; A:[42, -32, 244]; H: 62.51959228515625
SENSE daac 37 22-04-2019 12:40:57.752 T: 26.58239936828613 [C]; A:[0, 4, 230]; H: 65.43402099609375
SENSE daad 37 22-04-2019 12:40:57.745 T: 26.02079963684082 [C]; A:[2, 64, 194]; H: 66.79205322265625
SENSE daaa 38 22-04-2019 12:40:58.085 T: 26.33279991149902 [C]; A:[0, 0, 238]; H: 64.38116455078125
SENSE daab 38 22-04-2019 12:40:58.084 T: 26.58239936828613 [C]; A:[40, -32, 242]; H: 62.4967041015625
SENSE daac 38 22-04-2019 12:40:58.083 T: 26.64480018615722 [C]; A:[0, 8, 236]; H: 65.43402099609375
SENSE daad 38 22-04-2019 12:40:58.077 T: 26.27039909362792 [C]; A:[2, 60, 194]; H: 66.76153564453125
SENSE daaa 39 22-04-2019 12:40:58.418 T: 26.33279991149902 [C]; A:[0, 2, 236]; H: 64.35064697265625
SENSE daab 39 22-04-2019 12:40:58.417 T: 26.58239936828613 [C]; A:[38, -26, 246]; H: 62.4661865234375
SENSE daac 39 22-04-2019 12:40:58.417 T: 26.58239936828613 [C]; A:[0, 8, 240]; H: 65.43402099609375
SENSE daad 39 22-04-2019 12:40:58.411 T: 26.14559936523437 [C]; A:[4, 58, 192]; H: 66.76153564453125
SENSE daaa 40 22-04-2019 12:40:58.752 T: 26.33279991149902 [C]; A:[2, 0, 228]; H: 64.35064697265625
SENSE daab 40 22-04-2019 12:40:58.750 T: 26.58239936828613 [C]; A:[42, -22, 248]; H: 62.4661865234375
SENSE daac 40 22-04-2019 12:40:58.749 T: 26.58239936828613 [C]; A:[2, 10, 238]; H: 65.43402099609375
SENSE daad 40 22-04-2019 12:40:58.742 T: 26.14559936523437 [C]; A:[0, 56, 194]; H: 66.79205322265625
SENSE daaa 41 22-04-2019 12:40:59.087 T: 26.33279991149902 [C]; A:[-6, 0, 228]; H: 64.35064697265625
SENSE daab 41 22-04-2019 12:40:59.086 T: 26.58239936828613 [C]; A:[44, -32, 248]; H: 62.4051513671875
SENSE daac 41 22-04-2019 12:40:59.086 T: 26.58239936828613 [C]; A:[0, 10, 238]; H: 65.43402099609375
SENSE daad 41 22-04-2019 12:40:59.081 T: 26.14559936523437 [C]; A:[2, 62, 196]; H: 66.81494140625
SENSE daaa 42 22-04-2019 12:40:59.422 T: 26.39519882202148 [C]; A:[0, 2, 230]; H: 64.32012939453125
SENSE daab 42 22-04-2019 12:40:59.423 T: 26.58239936828613 [C]; A:[44, -30, 244]; H: 62.4051513671875
SENSE daac 42 22-04-2019 12:40:59.422 T: 26.58239936828613 [C]; A:[0, 12, 234]; H: 65.43402099609375
