SENSE daac 22 19-04-2019 07:09:35.281 T: 26.20800018310546 [C]; A:[-32, 104, 186]; H: 84.6219482421875
SENSE daad 22 19-04-2019 07:09:35.290 T: 26.89439964294433 [C]; A:[18, -4, 234]; H: 81.83721923828125
SENSE daab 23 19-04-2019 07:09:35.529 T: 29.07839965820312 [C]; A:[14, -28, 244]; H: 72.4759521484375
SENSE daaa 23 19-04-2019 07:09:35.629 T: 28.64159965515136 [C]; A:[10, -66, 222]; H: 76.46612548828125
SENSE daac 23 19-04-2019 07:09:35.526 T: 26.20800018310546 [C]; A:[-34, 100, 186]; H: 84.6219482421875
SENSE daad 23 19-04-2019 07:09:35.529 T: 26.89439964294433 [C]; A:[28, -10, 236]; H: 81.83721923828125
SENSE daab 24 19-04-2019 07:09:35.768 T: 29.07839965820312 [C]; A:[14, -28, 248]; H: 72.4759521484375
SENSE daaa 24 19-04-2019 07:09:35.877 T: 28.64159965515136 [C]; A:[14, -68, 222]; H: 76.46612548828125
SENSE daac 24 19-04-2019 07:09:35.766 T: 26.20800018310546 [C]; A:[-36, 100, 184]; H: 84.6219482421875
SENSE daad 24 19-04-2019 07:09:35.778 T: 26.83199882507324 [C]; A:[22, -6, 226]; H: 81.83721923828125
SENSE daab 25 19-04-2019 07:09:36.007 T: 29.14079856872558 [C]; A:[14, -26, 246]; H: 72.4759521484375
SENSE daaa 25 19-04-2019 07:09:36.115 T: 28.64159965515136 [C]; A:[12, -70, 216]; H: 76.46612548828125
SENSE daac 25 19-04-2019 07:09:36.006 T: 26.20800018310546 [C]; A:[-36, 98, 184]; H: 84.6219482421875
SENSE daad 25 19-04-2019 07:09:36.021 T: 26.83199882507324 [C]; A:[22, -6, 230]; H: 81.83721923828125
SENSE daab 26 19-04-2019 07:09:36.245 T: 29.14079856872558 [C]; A:[12, -32, 250]; H: 72.4759521484375
SENSE daaa 26 19-04-2019 07:09:36.358 T: 28.64159965515136 [C]; A:[12, -68, 206]; H: 76.46612548828125
SENSE daac 26 19-04-2019 07:09:36.246 T: 26.20800018310546 [C]; A:[-32, 100, 178]; H: 84.6219482421875
SENSE daad 26 19-04-2019 07:09:36.265 T: 26.89439964294433 [C]; A:[24, -8, 232]; H: 81.83721923828125
SENSE daab 27 19-04-2019 07:09:36.484 T: 29.14079856872558 [C]; A:[12, -26, 248]; H: 72.4454345703125
SENSE daaa 27 19-04-2019 07:09:36.607 T: 28.64159965515136 [C]; A:[20, -68, 214]; H: 76.46612548828125
SENSE daac 27 19-04-2019 07:09:36.486 T: 26.20800018310546 [C]; A:[-34, 98, 184]; H: 84.6219482421875
SENSE daad 27 19-04-2019 07:09:36.509 T: 26.89439964294433 [C]; A:[24, -6, 228]; H: 81.83721923828125
SENSE daab 28 19-04-2019 07:09:36.718 T: 29.07839965820312 [C]; A:[16, -32, 246]; H: 72.4454345703125
SENSE daaa 28 19-04-2019 07:09:36.845 T: 28.64159965515136 [C]; A:[10, -62, 220]; H: 76.46612548828125
SENSE daad 28 19-04-2019 07:09:36.758 T: 26.89439964294433 [C]; A:[24, -4, 232]; H: 81.83721923828125
SENSE daab 29 19-04-2019 07:09:36.957 T: 29.14079856872558 [C]; A:[16, -26, 246]; H: 72.4454345703125
SENSE daac 29 19-04-2019 07:09:36.966 T: 26.20800018310546 [C]; A:[-38, 98, 176]; H: 84.5914306640625
SENSE daad 29 19-04-2019 07:09:37.002 T: 26.89439964294433 [C]; A:[22, 0, 232]; H: 81.83721923828125
SENSE daab 30 19-04-2019 07:09:37.191 T: 29.07839965820312 [C]; A:[16, -30, 248]; H: 72.4454345703125
SENSE daac 30 19-04-2019 07:09:37.211 T: 26.20800018310546 [C]; A:[-32, 94, 182]; H: 84.5914306640625
SENSE daaa 30 19-04-2019 07:09:37.342 T: 28.64159965515136 [C]; A:[12, -64, 220]; H: 76.427978515625
SENSE daad 30 19-04-2019 07:09:37.241 T: 26.89439964294433 [C]; A:[24, -6, 236]; H: 81.80670166015625
SENSE daab 31 19-04-2019 07:09:37.436 T: 29.07839965820312 [C]; A:[18, -30, 242]; H: 72.4454345703125
SENSE daac 31 19-04-2019 07:09:37.446 T: 26.20800018310546 [C]; A:[-40, 102, 176]; H: 84.5914306640625
SENSE daaa 31 19-04-2019 07:09:37.580 T: 28.64159965515136 [C]; A:[14, -66, 222]; H: 76.427978515625
SENSE daad 31 19-04-2019 07:09:37.485 T: 26.89439964294433 [C]; A:[24, -6, 238]; H: 81.80670166015625
SENSE daab 32 19-04-2019 07:09:37.669 T: 29.07839965820312 [C]; A:[12, -28, 246]; H: 72.4454345703125
SENSE daac 32 19-04-2019 07:09:37.686 T: 26.20800018310546 [C]; A:[-36, 98, 176]; H: 84.5914306640625
SENSE daaa 32 19-04-2019 07:09:37.813 T: 28.64159965515136 [C]; A:[18, -70, 214]; H: 76.427978515625
SENSE daad 32 19-04-2019 07:09:37.723 T: 26.89439964294433 [C]; A:[22, 0, 236]; H: 81.80670166015625
