SENSE daad 25 19-04-2019 05:55:25.867 T: 28.95359992980957 [C]; A:[-6, -20, 252]; H: 73.0252685546875
SENSE daab 43 19-04-2019 05:55:26.268 T: 25.70879936218261 [C]; A:[4, 0, 236]; H: 86.29278564453125
SENSE daac 35 19-04-2019 05:55:21.621 T: 28.76639938354492 [C]; A:[26, -74, 212]; H: 75.79473876953125
SENSE daaa 36 19-04-2019 05:55:22.023 T: 25.39679908752441 [C]; A:[-78, -20, 194]; H: 86.95654296875
SENSE daac 36 19-04-2019 05:55:27.074 T: 28.82879829406738 [C]; A:[24, -70, 216]; H: 75.9854736328125
SENSE daaa 37 19-04-2019 05:55:27.467 T: 25.4591999053955 [C]; A:[-94, -22, 202]; H: 86.864990234375
SENSE daac 37 19-04-2019 05:55:27.655 T: 28.76639938354492 [C]; A:[28, -74, 206]; H: 76.02362060546875
SENSE daaa 38 19-04-2019 05:55:28.045 T: 25.39679908752441 [C]; A:[-82, -26, 194]; H: 86.83447265625
SENSE daac 38 19-04-2019 05:55:28.222 T: 28.76639938354492 [C]; A:[24, -74, 214]; H: 76.02362060546875
SENSE daaa 39 19-04-2019 05:55:28.617 T: 25.39679908752441 [C]; A:[-82, -30, 204]; H: 86.83447265625
SENSE daac 39 19-04-2019 05:55:28.793 T: 28.76639938354492 [C]; A:[26, -72, 212]; H: 76.02362060546875
SENSE daaa 40 19-04-2019 05:55:29.194 T: 25.39679908752441 [C]; A:[-90, -22, 196]; H: 86.83447265625
SENSE daac 40 19-04-2019 05:55:29.374 T: 28.82879829406738 [C]; A:[24, -74, 216]; H: 76.02362060546875
SENSE daaa 41 19-04-2019 05:55:29.771 T: 25.39679908752441 [C]; A:[-84, -24, 198]; H: 86.83447265625
SENSE daac 41 19-04-2019 05:55:29.955 T: 28.76639938354492 [C]; A:[22, -72, 216]; H: 75.9854736328125
SENSE daaa 42 19-04-2019 05:55:30.349 T: 25.39679908752441 [C]; A:[-80, -20, 198]; H: 86.803955078125
SENSE daac 42 19-04-2019 05:55:30.526 T: 28.76639938354492 [C]; A:[26, -74, 216]; H: 75.9854736328125
SENSE daaa 43 19-04-2019 05:55:30.926 T: 25.39679908752441 [C]; A:[-86, -24, 196]; H: 86.78106689453125
SENSE daac 43 19-04-2019 05:55:31.107 T: 28.82879829406738 [C]; A:[24, -72, 214]; H: 75.9854736328125
SENSE daad 26 19-04-2019 05:55:26.434 T: 28.95359992980957 [C]; A:[0, -20, 244]; H: 73.04815673828125
SENSE daab 44 19-04-2019 05:55:26.840 T: 25.70879936218261 [C]; A:[6, 0, 232]; H: 86.29278564453125
SENSE daad 27 19-04-2019 05:55:31.910 T: 29.01599884033203 [C]; A:[-4, -18, 254]; H: 73.07867431640625
SENSE daab 45 19-04-2019 05:55:32.314 T: 25.77120018005371 [C]; A:[6, 8, 232]; H: 86.0867919921875
SENSE daad 28 19-04-2019 05:55:32.492 T: 28.95359992980957 [C]; A:[-8, -14, 248]; H: 73.07867431640625
SENSE daab 46 19-04-2019 05:55:32.887 T: 25.83359909057617 [C]; A:[6, 2, 226]; H: 86.0257568359375
SENSE daad 29 19-04-2019 05:55:33.070 T: 28.95359992980957 [C]; A:[-10, -14, 246]; H: 73.0252685546875
SENSE daab 47 19-04-2019 05:55:33.474 T: 25.83359909057617 [C]; A:[2, 2, 228]; H: 86.00286865234375
SENSE daad 30 19-04-2019 05:55:33.637 T: 29.01599884033203 [C]; A:[0, -18, 248]; H: 73.0252685546875
SENSE daab 48 19-04-2019 05:55:34.031 T: 25.83359909057617 [C]; A:[6, 2, 230]; H: 85.97235107421875
SENSE daad 31 19-04-2019 05:55:34.215 T: 28.95359992980957 [C]; A:[-6, -20, 252]; H: 73.0252685546875
SENSE daab 49 19-04-2019 05:55:34.619 T: 25.83359909057617 [C]; A:[2, 6, 230]; H: 85.91131591796875
SENSE daad 32 19-04-2019 05:55:34.792 T: 28.95359992980957 [C]; A:[-8, -14, 246]; H: 73.0252685546875
SENSE daab 50 19-04-2019 05:55:35.196 T: 25.83359909057617 [C]; A:[2, 2, 234]; H: 85.85791015625
SENSE daad 33 19-04-2019 05:55:35.359 T: 29.01599884033203 [C]; A:[0, -18, 248]; H: 72.9947509765625
SENSE daab 51 19-04-2019 05:55:35.763 T: 25.89599990844726 [C]; A:[0, 2, 232]; H: 85.80450439453125
SENSE daad 34 19-04-2019 05:55:35.947 T: 29.01599884033203 [C]; A:[-6, -16, 250]; H: 72.94134521484375
