SENSE daaa 27 19-04-2019 06:07:09.372 T: 25.77120018005371 [C]; A:[-74, 2, 192]; H: 85.74346923828125
SENSE daad 18 19-04-2019 06:07:09.479 T: 28.76639938354492 [C]; A:[0, -16, 242]; H: 72.98712158203125
SENSE daaa 28 19-04-2019 06:07:14.817 T: 25.83359909057617 [C]; A:[-72, 2, 192]; H: 85.6595458984375
SENSE daad 19 19-04-2019 06:07:14.950 T: 28.70399856567382 [C]; A:[0, -18, 248]; H: 72.98712158203125
SENSE daaa 29 19-04-2019 06:07:15.397 T: 25.77120018005371 [C]; A:[-72, 2, 194]; H: 85.6595458984375
SENSE daad 20 19-04-2019 06:07:15.512 T: 28.70399856567382 [C]; A:[0, -18, 240]; H: 72.98712158203125
SENSE daaa 30 19-04-2019 06:07:15.972 T: 25.83359909057617 [C]; A:[-76, 6, 190]; H: 85.71295166015625
SENSE daad 21 19-04-2019 06:07:16.084 T: 28.70399856567382 [C]; A:[0, -16, 246]; H: 72.98712158203125
SENSE daaa 31 19-04-2019 06:07:16.547 T: 25.83359909057617 [C]; A:[-68, 0, 196]; H: 85.68243408203125
SENSE daad 22 19-04-2019 06:07:16.666 T: 28.76639938354492 [C]; A:[0, -18, 248]; H: 72.98712158203125
SENSE daaa 32 19-04-2019 06:07:17.122 T: 25.83359909057617 [C]; A:[-74, 2, 192]; H: 85.68243408203125
SENSE daad 23 19-04-2019 06:07:17.229 T: 28.70399856567382 [C]; A:[0, -18, 252]; H: 72.98712158203125
SENSE daaa 33 19-04-2019 06:07:17.693 T: 25.83359909057617 [C]; A:[-76, 6, 194]; H: 85.6595458984375
SENSE daad 24 19-04-2019 06:07:17.801 T: 28.70399856567382 [C]; A:[0, -12, 246]; H: 72.98712158203125
SENSE daaa 34 19-04-2019 06:07:18.262 T: 25.77120018005371 [C]; A:[-72, 6, 194]; H: 85.6595458984375
SENSE daad 25 19-04-2019 06:07:18.384 T: 28.76639938354492 [C]; A:[0, -18, 246]; H: 72.98712158203125
SENSE daaa 35 19-04-2019 06:07:18.847 T: 25.83359909057617 [C]; A:[-76, 2, 194]; H: 85.6595458984375
SENSE daab 35 19-04-2019 06:07:14.190 T: 27.39359855651855 [C]; A:[4, 2, 238]; H: 80.17401123046875
SENSE daac 27 19-04-2019 06:07:14.415 T: 28.57919883728027 [C]; A:[14, -68, 214]; H: 75.97784423828125
SENSE daab 36 19-04-2019 06:07:19.654 T: 27.45599937438964 [C]; A:[6, 4, 230]; H: 80.03668212890625
SENSE daac 28 19-04-2019 06:07:19.878 T: 28.57919883728027 [C]; A:[14, -68, 220]; H: 75.94732666015625
SENSE daab 37 19-04-2019 06:07:20.226 T: 27.45599937438964 [C]; A:[4, 6, 234]; H: 80.00616455078125
SENSE daac 29 19-04-2019 06:07:20.459 T: 28.57919883728027 [C]; A:[14, -72, 220]; H: 75.94732666015625
SENSE daab 38 19-04-2019 06:07:20.799 T: 27.45599937438964 [C]; A:[6, 4, 234]; H: 80.00616455078125
SENSE daac 30 19-04-2019 06:07:21.031 T: 28.57919883728027 [C]; A:[18, -72, 216]; H: 75.94732666015625
SENSE daab 39 19-04-2019 06:07:21.381 T: 27.45599937438964 [C]; A:[4, 2, 236]; H: 79.9832763671875
SENSE daac 31 19-04-2019 06:07:21.612 T: 28.57919883728027 [C]; A:[16, -68, 216]; H: 75.94732666015625
SENSE daab 40 19-04-2019 06:07:21.964 T: 27.45599937438964 [C]; A:[4, 0, 226]; H: 79.9527587890625
SENSE daac 32 19-04-2019 06:07:22.188 T: 28.57919883728027 [C]; A:[16, -72, 214]; H: 75.94732666015625
SENSE daab 41 19-04-2019 06:07:22.525 T: 27.51840019226074 [C]; A:[4, 6, 234]; H: 79.9527587890625
SENSE daac 33 19-04-2019 06:07:22.754 T: 28.57919883728027 [C]; A:[16, -70, 216]; H: 75.94732666015625
SENSE daab 42 19-04-2019 06:07:23.093 T: 27.51840019226074 [C]; A:[8, 0, 232]; H: 79.92987060546875
SENSE daac 34 19-04-2019 06:07:23.325 T: 28.57919883728027 [C]; A:[14, -70, 216]; H: 75.94732666015625
SENSE daab 43 19-04-2019 06:07:23.670 T: 27.45599937438964 [C]; A:[6, 0, 230]; H: 79.89935302734375
SENSE daad 26 19-04-2019 06:07:18.962 T: 28.76639938354492 [C]; A:[-4, -10, 252]; H: 72.98712158203125
SENSE daaa 36 19-04-2019 06:07:19.417 T: 25.77120018005371 [C]; A:[-74, 4, 198]; H: 85.6290283203125
SENSE daad 27 19-04-2019 06:07:24.416 T: 28.70399856567382 [C]; A:[0, -14, 250]; H: 72.95660400390625
SENSE daaa 37 19-04-2019 06:07:24.883 T: 25.83359909057617 [C]; A:[-74, 6, 192]; H: 85.54510498046875
SENSE daad 28 19-04-2019 06:07:24.999 T: 28.76639938354492 [C]; A:[0, -16, 246]; H: 72.95660400390625
SENSE daaa 38 19-04-2019 06:07:25.448 T: 25.83359909057617 [C]; A:[-72, 0, 200]; H: 85.51458740234375
SENSE daad 29 19-04-2019 06:07:25.561 T: 28.82879829406738 [C]; A:[-12, -18, 242]; H: 72.95660400390625
SENSE daaa 39 19-04-2019 06:07:26.019 T: 25.83359909057617 [C]; A:[-76, 0, 194]; H: 85.51458740234375
SENSE daad 30 19-04-2019 06:07:26.143 T: 28.76639938354492 [C]; A:[0, -14, 248]; H: 72.9337158203125
SENSE daaa 40 19-04-2019 06:07:26.598 T: 25.83359909057617 [C]; A:[-72, 0, 198]; H: 85.48406982421875
SENSE daad 31 19-04-2019 06:07:26.721 T: 28.76639938354492 [C]; A:[-4, -16, 244]; H: 72.9337158203125
SENSE daaa 41 19-04-2019 06:07:27.178 T: 25.89599990844726 [C]; A:[-74, 2, 192]; H: 85.48406982421875
SENSE daad 32 19-04-2019 06:07:27.294 T: 28.76639938354492 [C]; A:[0, -16, 246]; H: 72.9031982421875
SENSE daaa 42 19-04-2019 06:07:27.758 T: 25.89599990844726 [C]; A:[-68, 2, 222]; H: 85.48406982421875
SENSE daad 33 19-04-2019 06:07:27.866 T: 28.76639938354492 [C]; A:[-6, -18, 250]; H: 72.9031982421875
SENSE daaa 43 19-04-2019 06:07:28.328 T: 25.89599990844726 [C]; A:[-74, 0, 198]; H: 85.45355224609375
SENSE daad 34 19-04-2019 06:07:28.438 T: 28.82879829406738 [C]; A:[0, -16, 248]; H: 72.9031982421875
SENSE daac 35 19-04-2019 06:07:23.906 T: 28.57919883728027 [C]; A:[14, -70, 214]; H: 75.91680908203125
SENSE daab 44 19-04-2019 06:07:24.257 T: 27.45599937438964 [C]; A:[4, 2, 234]; H: 79.89935302734375
SENSE daac 36 19-04-2019 06:07:29.370 T: 28.64159965515136 [C]; A:[14, -68, 208]; H: 75.85577392578125
SENSE daab 45 19-04-2019 06:07:29.711 T: 27.5807991027832 [C]; A:[6, 6, 230]; H: 79.7696533203125
SENSE daac 37 19-04-2019 06:07:29.946 T: 28.64159965515136 [C]; A:[18, -74, 224]; H: 75.85577392578125
SENSE daab 46 19-04-2019 06:07:30.289 T: 27.5807991027832 [C]; A:[2, 0, 236]; H: 79.7696533203125
SENSE daac 38 19-04-2019 06:07:30.538 T: 28.64159965515136 [C]; A:[18, -76, 212]; H: 75.85577392578125
SENSE daab 47 19-04-2019 06:07:30.866 T: 27.5807991027832 [C]; A:[4, 2, 230]; H: 79.74676513671875
SENSE daac 39 19-04-2019 06:07:31.094 T: 28.64159965515136 [C]; A:[18, -70, 216]; H: 75.85577392578125
SENSE daab 48 19-04-2019 06:07:31.433 T: 27.5807991027832 [C]; A:[4, 6, 228]; H: 79.71624755859375
SENSE daac 40 19-04-2019 06:07:31.669 T: 28.57919883728027 [C]; A:[20, -72, 216]; H: 75.817626953125
SENSE daab 49 19-04-2019 06:07:32.011 T: 27.5807991027832 [C]; A:[6, 6, 232]; H: 79.68572998046875
SENSE daac 41 19-04-2019 06:07:32.240 T: 28.57919883728027 [C]; A:[14, -68, 216]; H: 75.817626953125
SENSE daab 50 19-04-2019 06:07:32.588 T: 27.5807991027832 [C]; A:[4, 2, 236]; H: 79.662841796875
SENSE daac 42 19-04-2019 06:07:32.817 T: 28.64159965515136 [C]; A:[16, -66, 210]; H: 75.817626953125
SENSE daab 51 19-04-2019 06:07:33.165 T: 27.5807991027832 [C]; A:[8, 4, 228]; H: 79.662841796875
SENSE daac 43 19-04-2019 06:07:33.398 T: 28.64159965515136 [C]; A:[18, -66, 210]; H: 75.817626953125
SENSE daaa 44 19-04-2019 06:07:28.898 T: 25.89599990844726 [C]; A:[-72, 2, 192]; H: 85.45355224609375
SENSE daad 35 19-04-2019 06:07:29.016 T: 28.82879829406738 [C]; A:[0, -14, 248]; H: 72.9031982421875
SENSE daaa 45 19-04-2019 06:07:34.374 T: 25.89599990844726 [C]; A:[-74, 0, 192]; H: 85.36962890625
SENSE daad 36 19-04-2019 06:07:34.481 T: 28.82879829406738 [C]; A:[-12, -10, 244]; H: 72.826904296875
SENSE daaa 46 19-04-2019 06:07:34.939 T: 25.89599990844726 [C]; A:[-72, 2, 198]; H: 85.36962890625
SENSE daad 37 19-04-2019 06:07:35.053 T: 28.82879829406738 [C]; A:[0, -20, 254]; H: 72.826904296875
SENSE daaa 47 19-04-2019 06:07:35.519 T: 25.89599990844726 [C]; A:[-74, 4, 196]; H: 85.36962890625
SENSE daad 38 19-04-2019 06:07:35.631 T: 28.82879829406738 [C]; A:[0, -16, 246]; H: 72.826904296875
SENSE daaa 48 19-04-2019 06:07:36.089 T: 25.89599990844726 [C]; A:[-72, 4, 194]; H: 85.339111328125
SENSE daad 39 19-04-2019 06:07:36.209 T: 28.82879829406738 [C]; A:[0, -18, 246]; H: 72.826904296875
SENSE daaa 49 19-04-2019 06:07:36.659 T: 25.89599990844726 [C]; A:[-68, 2, 194]; H: 85.339111328125
SENSE daad 40 19-04-2019 06:07:36.776 T: 28.82879829406738 [C]; A:[-4, -14, 248]; H: 72.80401611328125
SENSE daaa 50 19-04-2019 06:07:37.229 T: 25.89599990844726 [C]; A:[-72, 4, 196]; H: 85.339111328125
SENSE daad 41 19-04-2019 06:07:37.348 T: 28.82879829406738 [C]; A:[-4, -16, 244]; H: 72.80401611328125
SENSE daaa 51 19-04-2019 06:07:37.799 T: 25.95839881896972 [C]; A:[-74, 2, 192]; H: 85.31622314453125
SENSE daad 42 19-04-2019 06:07:37.920 T: 28.82879829406738 [C]; A:[0, -18, 242]; H: 72.80401611328125
SENSE daaa 52 19-04-2019 06:07:38.379 T: 25.89599990844726 [C]; A:[-72, 0, 198]; H: 85.31622314453125
SENSE daab 52 19-04-2019 06:07:33.742 T: 27.5807991027832 [C]; A:[2, 2, 236]; H: 79.63232421875
SENSE daac 44 19-04-2019 06:07:33.974 T: 28.64159965515136 [C]; A:[18, -70, 218]; H: 75.817626953125
SENSE daab 53 19-04-2019 06:07:39.187 T: 27.6431999206543 [C]; A:[6, 2, 238]; H: 79.4339599609375
SENSE daac 45 19-04-2019 06:07:39.428 T: 28.64159965515136 [C]; A:[22, -70, 212]; H: 75.756591796875
SENSE daab 54 19-04-2019 06:07:39.764 T: 27.6431999206543 [C]; A:[2, 2, 234]; H: 79.41107177734375
SENSE daac 46 19-04-2019 06:07:39.999 T: 28.64159965515136 [C]; A:[20, -70, 216]; H: 75.79473876953125
SENSE daab 55 19-04-2019 06:07:40.341 T: 27.70559883117675 [C]; A:[0, 8, 230]; H: 79.41107177734375
SENSE daac 47 19-04-2019 06:07:40.575 T: 28.70399856567382 [C]; A:[6, -66, 216]; H: 75.79473876953125
SENSE daab 56 19-04-2019 06:07:40.918 T: 27.70559883117675 [C]; A:[4, 4, 236]; H: 79.38055419921875
SENSE daac 48 19-04-2019 06:07:41.146 T: 28.70399856567382 [C]; A:[16, -72, 218]; H: 75.76422119140625
SENSE daab 57 19-04-2019 06:07:41.486 T: 27.70559883117675 [C]; A:[6, 0, 234]; H: 79.357666015625
SENSE daac 49 19-04-2019 06:07:41.727 T: 28.70399856567382 [C]; A:[18, -70, 226]; H: 75.76422119140625
SENSE daab 58 19-04-2019 06:07:42.073 T: 27.70559883117675 [C]; A:[4, 8, 246]; H: 79.357666015625
SENSE daac 50 19-04-2019 06:07:42.299 T: 28.64159965515136 [C]; A:[12, -66, 216]; H: 75.76422119140625
SENSE daab 59 19-04-2019 06:07:42.641 T: 27.70559883117675 [C]; A:[8, 4, 236]; H: 79.3271484375
SENSE daac 51 19-04-2019 06:07:42.870 T: 28.70399856567382 [C]; A:[14, -68, 216]; H: 75.76422119140625
SENSE daab 60 19-04-2019 06:07:43.212 T: 27.70559883117675 [C]; A:[0, 4, 236]; H: 79.296630859375
SENSE daad 43 19-04-2019 06:07:38.493 T: 28.82879829406738 [C]; A:[-4, -16, 246]; H: 72.80401611328125
SENSE daaa 53 19-04-2019 06:07:38.949 T: 25.95839881896972 [C]; A:[-72, 4, 192]; H: 85.31622314453125
SENSE daad 44 19-04-2019 06:07:43.958 T: 28.89119911193847 [C]; A:[-6, -16, 252]; H: 72.71246337890625
SENSE daaa 54 19-04-2019 06:07:44.414 T: 25.95839881896972 [C]; A:[-68, 0, 194]; H: 85.2322998046875
SENSE daad 45 19-04-2019 06:07:44.526 T: 28.82879829406738 [C]; A:[0, -16, 250]; H: 72.71246337890625
SENSE daaa 55 19-04-2019 06:07:44.974 T: 25.95839881896972 [C]; A:[-74, 4, 198]; H: 85.2017822265625
SENSE daad 46 19-04-2019 06:07:45.083 T: 28.82879829406738 [C]; A:[0, -22, 248]; H: 72.71246337890625
SENSE daaa 56 19-04-2019 06:07:45.539 T: 25.95839881896972 [C]; A:[-68, 0, 192]; H: 85.2017822265625
SENSE daad 47 19-04-2019 06:07:45.655 T: 28.89119911193847 [C]; A:[0, -18, 250]; H: 72.6895751953125
SENSE daaa 57 19-04-2019 06:07:46.109 T: 25.95839881896972 [C]; A:[-74, 4, 196]; H: 85.2017822265625
SENSE daad 48 19-04-2019 06:07:46.233 T: 28.82879829406738 [C]; A:[2, -14, 246]; H: 72.6895751953125
SENSE daaa 58 19-04-2019 06:07:46.695 T: 25.95839881896972 [C]; A:[-76, 2, 192]; H: 85.1712646484375
SENSE daad 49 19-04-2019 06:07:46.810 T: 28.82879829406738 [C]; A:[-8, -14, 248]; H: 72.6895751953125
SENSE daaa 59 19-04-2019 06:07:47.269 T: 25.95839881896972 [C]; A:[-72, 0, 192]; H: 85.1712646484375
SENSE daad 50 19-04-2019 06:07:47.382 T: 28.89119911193847 [C]; A:[0, -18, 248]; H: 72.6895751953125
SENSE daaa 60 19-04-2019 06:07:47.834 T: 25.95839881896972 [C]; A:[-72, 4, 192]; H: 85.1407470703125
SENSE daad 51 19-04-2019 06:07:47.956 T: 28.89119911193847 [C]; A:[-8, -18, 246]; H: 72.6590576171875
SENSE daac 52 19-04-2019 06:07:43.441 T: 28.70399856567382 [C]; A:[18, -68, 214]; H: 75.73370361328125
SENSE daab 61 19-04-2019 06:07:43.790 T: 27.70559883117675 [C]; A:[6, 0, 234]; H: 79.296630859375
