SENSE daac 27 22-04-2019 11:22:20.117 T: 27.0191993713379 [C]; A:[0, 64, 192]; H: 64.41168212890625
SENSE daad 27 22-04-2019 11:22:20.608 T: 25.64639854431152 [C]; A:[0, 0, 238]; H: 64.97625732421875
SENSE daac 28 22-04-2019 11:22:20.832 T: 27.08160018920898 [C]; A:[0, 64, 190]; H: 64.3887939453125
SENSE daab 16 22-04-2019 11:22:02.251 T: 28.32959938049316 [C]; A:[70, 90, 330]; H: 61.2760009765625
SENSE daad 28 22-04-2019 11:22:21.318 T: 25.64639854431152 [C]; A:[0, 2, 232]; H: 64.953369140625
SENSE daac 29 22-04-2019 11:22:21.547 T: 27.0191993713379 [C]; A:[-2, 62, 196]; H: 64.3887939453125
SENSE daab 17 22-04-2019 11:22:12.692 T: 28.32959938049316 [C]; A:[-18, 62, 294]; H: 61.03948974609375
SENSE daaa 22 22-04-2019 11:22:12.506 T: 25.89599990844726 [C]; A:[0, 0, 248]; H: 63.3359375
SENSE daab 18 22-04-2019 11:22:13.269 T: 28.32959938049316 [C]; A:[30, 78, 326]; H: 61.00897216796875
SENSE daac 30 22-04-2019 11:22:22.552 T: 27.08160018920898 [C]; A:[0, 62, 196]; H: 64.3887939453125
SENSE daab 19 22-04-2019 11:22:13.683 T: 28.32959938049316 [C]; A:[30, 78, 318]; H: 61.00897216796875
SENSE daab 20 22-04-2019 11:22:14.123 T: 28.32959938049316 [C]; A:[62, 48, 224]; H: 61.00897216796875
SENSE daac 31 22-04-2019 11:22:23.673 T: 27.08160018920898 [C]; A:[0, 62, 194]; H: 64.3582763671875
SENSE daab 21 22-04-2019 11:22:14.513 T: 28.32959938049316 [C]; A:[62, 64, 256]; H: 60.97845458984375
SENSE daab 22 22-04-2019 11:22:14.960 T: 28.32959938049316 [C]; A:[-32, -32, 164]; H: 60.94793701171875
SENSE daac 32 22-04-2019 11:22:24.788 T: 27.08160018920898 [C]; A:[0, 64, 196]; H: 64.3277587890625
SENSE daab 23 22-04-2019 11:22:15.363 T: 28.32959938049316 [C]; A:[-48, -22, 190]; H: 60.94793701171875
SENSE daab 24 22-04-2019 11:22:15.796 T: 28.39199829101562 [C]; A:[0, 0, 168]; H: 60.94793701171875
SENSE daac 33 22-04-2019 11:22:25.893 T: 27.08160018920898 [C]; A:[0, 64, 192]; H: 64.3277587890625
SENSE daab 25 22-04-2019 11:22:16.185 T: 28.32959938049316 [C]; A:[-40, -32, 160]; H: 60.94793701171875
SENSE daab 26 22-04-2019 11:22:16.623 T: 28.39199829101562 [C]; A:[38, 94, 334]; H: 60.94793701171875
SENSE daac 34 22-04-2019 11:22:26.998 T: 27.0191993713379 [C]; A:[-4, 64, 192]; H: 64.2972412109375
SENSE daad 29 22-04-2019 11:22:22.446 T: 25.64639854431152 [C]; A:[0, 0, 226]; H: 64.953369140625
SENSE daaa 23 22-04-2019 11:22:23.043 T: 25.89599990844726 [C]; A:[4, 0, 246]; H: 63.48089599609375
SENSE daac 35 22-04-2019 11:22:28.163 T: 27.08160018920898 [C]; A:[0, 66, 192]; H: 64.2667236328125
SENSE daad 30 22-04-2019 11:22:28.433 T: 25.64639854431152 [C]; A:[0, 10, 236]; H: 64.86944580078125
SENSE daac 36 22-04-2019 11:22:28.828 T: 27.08160018920898 [C]; A:[2, 62, 194]; H: 64.2972412109375
SENSE daad 31 22-04-2019 11:22:29.247 T: 25.64639854431152 [C]; A:[0, 0, 234]; H: 64.83892822265625
SENSE daac 37 22-04-2019 11:22:29.393 T: 27.08160018920898 [C]; A:[0, 60, 192]; H: 64.2972412109375
SENSE daad 32 22-04-2019 11:22:29.877 T: 25.64639854431152 [C]; A:[-4, 4, 232]; H: 64.80841064453125
SENSE daac 38 22-04-2019 11:22:30.104 T: 27.08160018920898 [C]; A:[0, 64, 194]; H: 64.27435302734375
SENSE daad 33 22-04-2019 11:22:30.603 T: 25.64639854431152 [C]; A:[-4, 2, 232]; H: 64.80841064453125
SENSE daac 39 22-04-2019 11:22:30.818 T: 27.08160018920898 [C]; A:[0, 60, 190]; H: 64.27435302734375
