SENSE daab 36 22-04-2019 11:08:48.780 T: 29.32799911499023 [C]; A:[30, 78, 318]; H: 58.666748046875
SENSE daab 37 22-04-2019 11:08:54.213 T: 29.39039993286132 [C]; A:[-40, 30, 286]; H: 58.63623046875
SENSE daad 23 22-04-2019 11:08:55.834 T: 25.52159881591796 [C]; A:[0, 2, 228]; H: 65.17462158203125
SENSE daab 38 22-04-2019 11:08:54.663 T: 29.39039993286132 [C]; A:[-44, 30, 286]; H: 58.63623046875
SENSE daab 39 22-04-2019 11:08:55.224 T: 29.39039993286132 [C]; A:[46, 78, 334]; H: 58.63623046875
SENSE daad 24 22-04-2019 11:08:56.941 T: 25.58399963378906 [C]; A:[0, 0, 232]; H: 65.17462158203125
SENSE daab 40 22-04-2019 11:08:55.684 T: 29.32799911499023 [C]; A:[-56, -20, 254]; H: 58.63623046875
SENSE daab 41 22-04-2019 11:08:56.227 T: 29.39039993286132 [C]; A:[62, 86, 318]; H: 58.63623046875
SENSE daad 25 22-04-2019 11:08:57.990 T: 25.58399963378906 [C]; A:[0, 0, 232]; H: 65.17462158203125
SENSE daab 42 22-04-2019 11:08:56.672 T: 29.39039993286132 [C]; A:[-56, -32, 160]; H: 58.63623046875
SENSE daab 43 22-04-2019 11:08:57.223 T: 29.32799911499023 [C]; A:[62, 70, 256]; H: 58.666748046875
SENSE daad 26 22-04-2019 11:08:59.024 T: 25.58399963378906 [C]; A:[-6, 2, 226]; H: 65.17462158203125
SENSE daab 44 22-04-2019 11:08:57.671 T: 29.39039993286132 [C]; A:[62, 78, 318]; H: 58.63623046875
SENSE daab 45 22-04-2019 11:08:58.221 T: 29.39039993286132 [C]; A:[-56, -32, 174]; H: 58.666748046875
SENSE daaa 10 22-04-2019 11:08:55.535 T: 25.64639854431152 [C]; A:[0, 0, 248]; H: 63.82421875
SENSE daab 46 22-04-2019 11:08:58.667 T: 29.39039993286132 [C]; A:[-48, 6, 286]; H: 58.63623046875
SENSE daaa 11 22-04-2019 11:09:01.021 T: 25.64639854431152 [C]; A:[0, 0, 242]; H: 63.64874267578125
SENSE daab 47 22-04-2019 11:08:59.207 T: 29.39039993286132 [C]; A:[0, 0, 176]; H: 58.666748046875
SENSE daaa 12 22-04-2019 11:09:01.598 T: 25.70879936218261 [C]; A:[0, 0, 246]; H: 63.64874267578125
SENSE daab 48 22-04-2019 11:08:59.752 T: 29.32799911499023 [C]; A:[-40, 62, 286]; H: 58.666748046875
SENSE daaa 13 22-04-2019 11:09:02.171 T: 25.70879936218261 [C]; A:[0, 0, 248]; H: 63.64874267578125
SENSE daab 49 22-04-2019 11:09:00.299 T: 29.32799911499023 [C]; A:[46, 86, 330]; H: 58.666748046875
SENSE daaa 14 22-04-2019 11:09:02.748 T: 25.64639854431152 [C]; A:[4, 0, 252]; H: 63.64874267578125
SENSE daab 50 22-04-2019 11:09:00.858 T: 29.39039993286132 [C]; A:[-60, -32, 160]; H: 58.697265625
SENSE daaa 15 22-04-2019 11:09:03.316 T: 25.64639854431152 [C]; A:[0, 6, 252]; H: 63.64874267578125
SENSE daab 51 22-04-2019 11:09:01.410 T: 29.39039993286132 [C]; A:[-52, 6, 286]; H: 58.697265625
SENSE daaa 16 22-04-2019 11:09:03.883 T: 25.64639854431152 [C]; A:[2, 2, 250]; H: 63.61822509765625
SENSE daab 52 22-04-2019 11:09:01.959 T: 29.32799911499023 [C]; A:[30, 78, 330]; H: 58.666748046875
SENSE daaa 17 22-04-2019 11:09:04.466 T: 25.64639854431152 [C]; A:[2, 0, 246]; H: 63.61822509765625
SENSE daab 53 22-04-2019 11:09:02.515 T: 29.32799911499023 [C]; A:[-48, -32, 160]; H: 58.666748046875
SENSE daac 11 22-04-2019 11:08:54.929 T: 26.9567985534668 [C]; A:[-4, 64, 190]; H: 65.0906982421875
SENSE daab 54 22-04-2019 11:09:03.071 T: 29.39039993286132 [C]; A:[-10, 62, 302]; H: 58.63623046875
SENSE daab 55 22-04-2019 11:09:03.606 T: 29.39039993286132 [C]; A:[62, 86, 318]; H: 58.63623046875
SENSE daac 12 22-04-2019 11:09:05.618 T: 26.9567985534668 [C]; A:[0, 64, 194]; H: 64.770263671875
SENSE daab 56 22-04-2019 11:09:04.060 T: 29.39039993286132 [C]; A:[-62, -14, 242]; H: 58.63623046875
SENSE daab 57 22-04-2019 11:09:04.587 T: 29.39039993286132 [C]; A:[-36, 62, 302]; H: 58.605712890625
SENSE daac 13 22-04-2019 11:09:06.663 T: 26.9567985534668 [C]; A:[-4, 64, 200]; H: 64.770263671875
SENSE daab 58 22-04-2019 11:09:05.027 T: 29.32799911499023 [C]; A:[-60, -32, 160]; H: 58.58282470703125
SENSE daab 59 22-04-2019 11:09:05.559 T: 29.32799911499023 [C]; A:[-56, -20, 238]; H: 58.55230712890625
SENSE daac 14 22-04-2019 11:09:07.678 T: 26.9567985534668 [C]; A:[0, 64, 194]; H: 64.770263671875
SENSE daab 60 22-04-2019 11:09:06.024 T: 29.32799911499023 [C]; A:[-56, -32, 160]; H: 58.55230712890625
SENSE daab 61 22-04-2019 11:09:06.552 T: 29.32799911499023 [C]; A:[62, 86, 342]; H: 58.49127197265625
SENSE daac 15 22-04-2019 11:09:08.763 T: 26.9567985534668 [C]; A:[0, 64, 196]; H: 64.770263671875
SENSE daab 62 22-04-2019 11:09:06.994 T: 29.32799911499023 [C]; A:[-56, -40, 152]; H: 58.49127197265625
SENSE daaa 18 22-04-2019 11:09:05.043 T: 25.70879936218261 [C]; A:[2, 0, 250]; H: 63.61822509765625
SENSE daab 63 22-04-2019 11:09:07.532 T: 29.32799911499023 [C]; A:[62, 94, 318]; H: 58.49127197265625
SENSE daac 16 22-04-2019 11:09:09.798 T: 26.9567985534668 [C]; A:[0, 64, 194]; H: 64.80078125
SENSE daab 64 22-04-2019 11:09:08.100 T: 29.32799911499023 [C]; A:[0, 0, 168]; H: 58.49127197265625
SENSE daab 65 22-04-2019 11:09:08.615 T: 29.32799911499023 [C]; A:[-56, -6, 278]; H: 58.49127197265625
SENSE daac 17 22-04-2019 11:09:10.969 T: 26.9567985534668 [C]; A:[0, 64, 196]; H: 64.85418701171875
SENSE daab 66 22-04-2019 11:09:09.068 T: 29.32799911499023 [C]; A:[30, 78, 318]; H: 58.49127197265625
SENSE daab 67 22-04-2019 11:09:09.596 T: 29.32799911499023 [C]; A:[-56, -28, 222]; H: 58.49127197265625
SENSE daac 18 22-04-2019 11:09:12.010 T: 26.9567985534668 [C]; A:[-4, 64, 198]; H: 64.85418701171875
SENSE daab 68 22-04-2019 11:09:10.041 T: 29.32799911499023 [C]; A:[0, 0, 176]; H: 58.52178955078125
SENSE daab 69 22-04-2019 11:09:10.587 T: 29.26559829711914 [C]; A:[0, 0, 176]; H: 58.52178955078125
SENSE daac 19 22-04-2019 11:09:13.034 T: 26.9567985534668 [C]; A:[-6, 62, 196]; H: 64.88470458984375
SENSE daab 70 22-04-2019 11:09:11.033 T: 29.26559829711914 [C]; A:[-64, -32, 152]; H: 58.52178955078125
SENSE daab 71 22-04-2019 11:09:11.568 T: 29.32799911499023 [C]; A:[62, 86, 318]; H: 58.52178955078125
SENSE daac 20 22-04-2019 11:09:14.089 T: 26.9567985534668 [C]; A:[0, 64, 194]; H: 64.88470458984375
SENSE daab 72 22-04-2019 11:09:12.006 T: 29.32799911499023 [C]; A:[70, 48, 216]; H: 58.49127197265625
SENSE daad 27 22-04-2019 11:09:00.051 T: 25.58399963378906 [C]; A:[2, 2, 232]; H: 65.17462158203125
SENSE daab 73 22-04-2019 11:09:12.565 T: 29.32799911499023 [C]; A:[62, 78, 318]; H: 58.49127197265625
SENSE daac 21 22-04-2019 11:09:15.135 T: 26.9567985534668 [C]; A:[0, 64, 194]; H: 64.8770751953125
SENSE daab 74 22-04-2019 11:09:13.134 T: 29.26559829711914 [C]; A:[-34, 62, 318]; H: 58.49127197265625
SENSE daad 28 22-04-2019 11:09:15.913 T: 25.64639854431152 [C]; A:[0, 2, 230]; H: 65.0601806640625
SENSE daab 75 22-04-2019 11:09:13.693 T: 29.26559829711914 [C]; A:[58, 36, 208]; H: 58.49127197265625
SENSE daac 22 22-04-2019 11:09:16.420 T: 26.9567985534668 [C]; A:[0, 64, 194]; H: 64.9075927734375
SENSE daab 76 22-04-2019 11:09:14.150 T: 29.32799911499023 [C]; A:[62, 78, 318]; H: 58.49127197265625
SENSE daab 77 22-04-2019 11:09:14.705 T: 29.32799911499023 [C]; A:[46, 86, 318]; H: 58.52178955078125
SENSE daac 23 22-04-2019 11:09:17.405 T: 27.0191993713379 [C]; A:[0, 66, 192]; H: 65.00677490234375
SENSE daab 78 22-04-2019 11:09:15.142 T: 29.32799911499023 [C]; A:[54, 36, 208]; H: 58.52178955078125
SENSE daab 79 22-04-2019 11:09:15.676 T: 29.26559829711914 [C]; A:[-56, -32, 160]; H: 58.52178955078125
SENSE daac 24 22-04-2019 11:09:18.506 T: 26.9567985534668 [C]; A:[0, 62, 192]; H: 64.9991455078125
SENSE daab 80 22-04-2019 11:09:16.115 T: 29.32799911499023 [C]; A:[62, 94, 318]; H: 58.52178955078125
