SENSE daab 16 22-04-2019 11:14:31.681 T: 28.89119911193847 [C]; A:[62, 94, 334]; H: 59.643310546875
SENSE daab 17 22-04-2019 11:14:32.120 T: 28.89119911193847 [C]; A:[30, 86, 302]; H: 59.643310546875
SENSE daad 19 22-04-2019 11:14:39.549 T: 25.70879936218261 [C]; A:[0, 8, 238]; H: 64.4193115234375
SENSE daab 18 22-04-2019 11:14:32.522 T: 28.89119911193847 [C]; A:[-32, 0, 160]; H: 59.643310546875
SENSE daab 19 22-04-2019 11:14:32.998 T: 28.89119911193847 [C]; A:[-56, -32, 176]; H: 59.643310546875
SENSE daad 20 22-04-2019 11:14:40.651 T: 25.64639854431152 [C]; A:[-10, 12, 224]; H: 64.36590576171875
SENSE daab 20 22-04-2019 11:14:33.407 T: 28.89119911193847 [C]; A:[-56, -32, 162]; H: 59.643310546875
SENSE daac 14 22-04-2019 11:14:31.700 T: 26.9567985534668 [C]; A:[-4, 60, 192]; H: 63.93865966796875
SENSE daab 21 22-04-2019 11:14:33.938 T: 28.89119911193847 [C]; A:[62, 48, 208]; H: 59.643310546875
SENSE daad 21 22-04-2019 11:14:41.754 T: 25.64639854431152 [C]; A:[0, 0, 236]; H: 64.39642333984375
SENSE daab 22 22-04-2019 11:14:34.338 T: 28.89119911193847 [C]; A:[16, 0, 192]; H: 59.673828125
SENSE daab 23 22-04-2019 11:14:34.790 T: 28.89119911193847 [C]; A:[62, 102, 334]; H: 59.673828125
SENSE daad 22 22-04-2019 11:14:42.931 T: 25.64639854431152 [C]; A:[0, 2, 226]; H: 64.39642333984375
SENSE daaa 24 22-04-2019 11:14:38.852 T: 25.52159881591796 [C]; A:[2, -28, 252]; H: 63.74029541015625
SENSE daaa 25 22-04-2019 11:14:44.168 T: 25.52159881591796 [C]; A:[2, -28, 244]; H: 63.67926025390625
SENSE daaa 26 22-04-2019 11:14:44.637 T: 25.52159881591796 [C]; A:[8, -28, 248]; H: 63.67926025390625
SENSE daaa 27 22-04-2019 11:14:45.089 T: 25.52159881591796 [C]; A:[6, -20, 256]; H: 63.67926025390625
SENSE daaa 28 22-04-2019 11:14:45.542 T: 25.52159881591796 [C]; A:[8, -26, 246]; H: 63.67926025390625
SENSE daaa 29 22-04-2019 11:14:45.995 T: 25.52159881591796 [C]; A:[6, -28, 250]; H: 63.67926025390625
SENSE daaa 30 22-04-2019 11:14:46.448 T: 25.52159881591796 [C]; A:[10, -32, 248]; H: 63.67926025390625
SENSE daaa 31 22-04-2019 11:14:46.901 T: 25.52159881591796 [C]; A:[4, -20, 252]; H: 63.67926025390625
SENSE daac 15 22-04-2019 11:14:46.945 T: 26.89439964294433 [C]; A:[0, 62, 200]; H: 64.0836181640625
SENSE daaa 32 22-04-2019 11:14:47.354 T: 25.52159881591796 [C]; A:[6, -26, 246]; H: 63.67926025390625
SENSE daac 16 22-04-2019 11:14:47.575 T: 26.89439964294433 [C]; A:[2, 64, 192]; H: 64.12176513671875
SENSE daac 17 22-04-2019 11:14:48.145 T: 26.89439964294433 [C]; A:[0, 64, 198]; H: 64.12176513671875
SENSE daad 23 22-04-2019 11:14:48.376 T: 25.70879936218261 [C]; A:[0, 2, 236]; H: 64.5108642578125
SENSE daac 18 22-04-2019 11:14:48.760 T: 26.89439964294433 [C]; A:[0, 62, 194]; H: 64.12176513671875
